gi|50118966|ref|YP_048133.1|	gi|188532166|ref|YP_001905963.1|
gi|50119052|ref|YP_048219.1|	gi|188533606|ref|YP_001907403.1|
gi|50119053|ref|YP_048220.1|	gi|188535538|ref|YP_001909335.1|
gi|50119054|ref|YP_048221.1|	gi|188535541|ref|YP_001909338.1|
gi|50119055|ref|YP_048222.1|	gi|188533920|ref|YP_001907717.1|
gi|50119056|ref|YP_048223.1|	gi|188535520|ref|YP_001909317.1|
gi|50119057|ref|YP_048224.1|	gi|188533808|ref|YP_001907605.1|
gi|50119058|ref|YP_048225.1|	gi|188533455|ref|YP_001907252.1|
gi|50119059|ref|YP_048226.1|	gi|188532181|ref|YP_001905978.1|
gi|50119060|ref|YP_048227.1|	gi|188533520|ref|YP_001907317.1|
gi|50119061|ref|YP_048228.1|	gi|188532180|ref|YP_001905977.1|
gi|50119062|ref|YP_048229.1|	gi|188535460|ref|YP_001909257.1|
gi|50119063|ref|YP_048230.1|	gi|188534648|ref|YP_001908445.1|
gi|50119064|ref|YP_048231.1|	gi|188534728|ref|YP_001908525.1|
gi|50119065|ref|YP_048232.1|	gi|188532295|ref|YP_001906092.1|
gi|50119066|ref|YP_048233.1|	gi|188533100|ref|YP_001906897.1|
gi|50119067|ref|YP_048234.1|	gi|188533099|ref|YP_001906896.1|
gi|50119068|ref|YP_048235.1|	gi|188533641|ref|YP_001907438.1|
gi|161501885|ref|YP_048236.2|	gi|188534207|ref|YP_001908004.1|
gi|50119070|ref|YP_048237.1|	gi|188534156|ref|YP_001907953.1|
gi|50119071|ref|YP_048238.1|	gi|188533867|ref|YP_001907664.1|
gi|50119072|ref|YP_048239.1|	gi|188535435|ref|YP_001909232.1|
gi|50119073|ref|YP_048240.1|	gi|188532613|ref|YP_001906410.1|
gi|50119074|ref|YP_048241.1|	gi|188535570|ref|YP_001909367.1|
gi|50119075|ref|YP_048242.1|	gi|188533405|ref|YP_001907202.1|
gi|50119076|ref|YP_048243.1|	gi|188535138|ref|YP_001908935.1|
gi|50119077|ref|YP_048244.1|	gi|188532601|ref|YP_001906398.1|
gi|50119078|ref|YP_048245.1|	gi|188532615|ref|YP_001906412.1|
gi|50119079|ref|YP_048246.1|	gi|188533393|ref|YP_001907190.1|
gi|50119080|ref|YP_048247.1|	gi|188535423|ref|YP_001909220.1|
gi|50119081|ref|YP_048248.1|	gi|188533650|ref|YP_001907447.1|
gi|50119082|ref|YP_048249.1|	gi|188533756|ref|YP_001907553.1|
gi|50119083|ref|YP_048250.1|	gi|188535189|ref|YP_001908986.1|
gi|50119084|ref|YP_048251.1|	gi|188533464|ref|YP_001907261.1|
gi|50119085|ref|YP_048252.1|	gi|188535170|ref|YP_001908967.1|
gi|50119086|ref|YP_048253.1|	gi|188533488|ref|YP_001907285.1|
gi|50119087|ref|YP_048254.1|	gi|188535040|ref|YP_001908837.1|
gi|50119088|ref|YP_048255.1|	gi|188532817|ref|YP_001906614.1|
gi|50119089|ref|YP_048256.1|	gi|188533813|ref|YP_001907610.1|
gi|50119090|ref|YP_048257.1|	gi|188533151|ref|YP_001906948.1|
gi|50119091|ref|YP_048258.1|	gi|188532219|ref|YP_001906016.1|
gi|50119092|ref|YP_048259.1|	gi|188534899|ref|YP_001908696.1|
gi|50119093|ref|YP_048260.1|	gi|188534319|ref|YP_001908116.1|
gi|50119094|ref|YP_048261.1|	gi|188533572|ref|YP_001907369.1|
gi|50119095|ref|YP_048262.1|	gi|188534655|ref|YP_001908452.1|
gi|50119096|ref|YP_048263.1|	gi|188534315|ref|YP_001908112.1|
gi|50119097|ref|YP_048264.1|	gi|188534316|ref|YP_001908113.1|
gi|50119098|ref|YP_048265.1|	gi|188534317|ref|YP_001908114.1|
gi|50119099|ref|YP_048266.1|	gi|188534318|ref|YP_001908115.1|
gi|50119100|ref|YP_048267.1|	gi|188533789|ref|YP_001907586.1|
gi|50119101|ref|YP_048268.1|	gi|188532222|ref|YP_001906019.1|
gi|50119102|ref|YP_048269.1|	gi|188532223|ref|YP_001906020.1|
gi|50119103|ref|YP_048270.1|	gi|188532224|ref|YP_001906021.1|
gi|50119104|ref|YP_048271.1|	gi|188532225|ref|YP_001906022.1|
gi|50119105|ref|YP_048272.1|	gi|188532226|ref|YP_001906023.1|
gi|50119106|ref|YP_048273.1|	gi|188532227|ref|YP_001906024.1|
gi|50119107|ref|YP_048274.1|	gi|188532228|ref|YP_001906025.1|
gi|50119108|ref|YP_048275.1|	gi|188532229|ref|YP_001906026.1|
gi|50119109|ref|YP_048276.1|	gi|188532230|ref|YP_001906027.1|
gi|50119110|ref|YP_048277.1|	gi|188532235|ref|YP_001906032.1|
gi|50119111|ref|YP_048278.1|	gi|188532231|ref|YP_001906028.1|
gi|50119112|ref|YP_048279.1|	gi|188532233|ref|YP_001906030.1|
gi|50119113|ref|YP_048280.1|	gi|188535434|ref|YP_001909231.1|
gi|50119114|ref|YP_048281.1|	gi|188532232|ref|YP_001906029.1|
gi|50119115|ref|YP_048282.1|	gi|188532465|ref|YP_001906262.1|
gi|50119116|ref|YP_048283.1|	gi|188532370|ref|YP_001906167.1|
gi|50119117|ref|YP_048284.1|	gi|188535158|ref|YP_001908955.1|
gi|50119118|ref|YP_048285.1|	gi|188533482|ref|YP_001907279.1|
gi|50119119|ref|YP_048286.1|	gi|188533482|ref|YP_001907279.1|
gi|50119120|ref|YP_048287.1|	gi|188532237|ref|YP_001906034.1|
gi|50119121|ref|YP_048288.1|	gi|188532238|ref|YP_001906035.1|
gi|50119122|ref|YP_048289.1|	gi|188532242|ref|YP_001906039.1|
gi|50119123|ref|YP_048290.1|	gi|188532242|ref|YP_001906039.1|
gi|50119124|ref|YP_048291.1|	gi|188532244|ref|YP_001906041.1|
gi|50119125|ref|YP_048292.1|	gi|188532245|ref|YP_001906042.1|
gi|50119126|ref|YP_048293.1|	gi|188532246|ref|YP_001906043.1|
gi|50119127|ref|YP_048294.1|	gi|188533500|ref|YP_001907297.1|
gi|50119128|ref|YP_048295.1|	gi|188533809|ref|YP_001907606.1|
gi|50119129|ref|YP_048296.1|	gi|188532247|ref|YP_001906044.1|
gi|50119130|ref|YP_048297.1|	gi|188532248|ref|YP_001906045.1|
gi|50119131|ref|YP_048298.1|	gi|188532249|ref|YP_001906046.1|
gi|50119132|ref|YP_048299.1|	gi|188532251|ref|YP_001906048.1|
gi|50119133|ref|YP_048300.1|	gi|188532252|ref|YP_001906049.1|
gi|50119134|ref|YP_048301.1|	gi|188532253|ref|YP_001906050.1|
gi|50119135|ref|YP_048302.1|	gi|188534490|ref|YP_001908287.1|
gi|50119136|ref|YP_048303.1|	gi|188535084|ref|YP_001908881.1|
gi|50119137|ref|YP_048304.1|	gi|188534389|ref|YP_001908186.1|
gi|50119138|ref|YP_048305.1|	gi|188535554|ref|YP_001909351.1|
gi|50119139|ref|YP_048306.1|	gi|188534870|ref|YP_001908667.1|
gi|50119140|ref|YP_048307.1|	gi|188532387|ref|YP_001906184.1|
gi|50119141|ref|YP_048308.1|	gi|188532388|ref|YP_001906185.1|
gi|50119142|ref|YP_048309.1|	gi|188533607|ref|YP_001907404.1|
gi|50119143|ref|YP_048310.1|	gi|188533608|ref|YP_001907405.1|
gi|50119144|ref|YP_048311.1|	gi|188532389|ref|YP_001906186.1|
gi|50119145|ref|YP_048312.1|	gi|188532390|ref|YP_001906187.1|
gi|50119146|ref|YP_048313.1|	gi|188533438|ref|YP_001907235.1|
gi|50119147|ref|YP_048314.1|	gi|188532292|ref|YP_001906089.1|
gi|50119148|ref|YP_048315.1|	gi|188534006|ref|YP_001907803.1|
gi|50119149|ref|YP_048316.1|	gi|188533650|ref|YP_001907447.1|
gi|50119150|ref|YP_048317.1|	gi|188533541|ref|YP_001907338.1|
gi|50119151|ref|YP_048318.1|	gi|188532293|ref|YP_001906090.1|
gi|50119152|ref|YP_048319.1|	gi|188534066|ref|YP_001907863.1|
gi|50119153|ref|YP_048320.1|	gi|188532294|ref|YP_001906091.1|
gi|50119154|ref|YP_048321.1|	gi|188532296|ref|YP_001906093.1|
gi|50119155|ref|YP_048322.1|	gi|188532391|ref|YP_001906188.1|
gi|50119156|ref|YP_048323.1|	gi|188532392|ref|YP_001906189.1|
gi|50119157|ref|YP_048324.1|	gi|188532393|ref|YP_001906190.1|
gi|50119158|ref|YP_048325.1|	gi|188532394|ref|YP_001906191.1|
gi|50119159|ref|YP_048326.1|	gi|188532395|ref|YP_001906192.1|
gi|50119160|ref|YP_048327.1|	gi|188532396|ref|YP_001906193.1|
gi|50119161|ref|YP_048328.1|	gi|188532397|ref|YP_001906194.1|
gi|50119162|ref|YP_048329.1|	gi|188532398|ref|YP_001906195.1|
gi|50119163|ref|YP_048330.1|	gi|188533591|ref|YP_001907388.1|
gi|50119164|ref|YP_048331.1|	gi|188532399|ref|YP_001906196.1|
gi|50119165|ref|YP_048332.1|	gi|188532400|ref|YP_001906197.1|
gi|50119166|ref|YP_048333.1|	gi|188532401|ref|YP_001906198.1|
gi|50119167|ref|YP_048334.1|	gi|188532402|ref|YP_001906199.1|
gi|50119168|ref|YP_048335.1|	gi|188532403|ref|YP_001906200.1|
gi|50119169|ref|YP_048336.1|	gi|188532404|ref|YP_001906201.1|
gi|50119170|ref|YP_048337.1|	gi|188532405|ref|YP_001906202.1|
gi|50119171|ref|YP_048338.1|	gi|188532406|ref|YP_001906203.1|
gi|50119172|ref|YP_048339.1|	gi|188532407|ref|YP_001906204.1|
gi|50119173|ref|YP_048340.1|	gi|188532304|ref|YP_001906101.1|
gi|50119174|ref|YP_048341.1|	gi|188532305|ref|YP_001906102.1|
gi|50119175|ref|YP_048342.1|	gi|188532306|ref|YP_001906103.1|
gi|50119176|ref|YP_048343.1|	gi|188532307|ref|YP_001906104.1|
gi|50119177|ref|YP_048344.1|	gi|188532308|ref|YP_001906105.1|
gi|50119178|ref|YP_048345.1|	gi|188532309|ref|YP_001906106.1|
gi|50119179|ref|YP_048346.1|	gi|188532310|ref|YP_001906107.1|
gi|50119180|ref|YP_048347.1|	gi|188532311|ref|YP_001906108.1|
gi|50119181|ref|YP_048348.1|	gi|188532312|ref|YP_001906109.1|
gi|50119182|ref|YP_048349.1|	gi|188532313|ref|YP_001906110.1|
gi|50119183|ref|YP_048350.1|	gi|188532314|ref|YP_001906111.1|
gi|50119184|ref|YP_048351.1|	gi|188532315|ref|YP_001906112.1|
gi|50119185|ref|YP_048352.1|	gi|188532745|ref|YP_001906542.1|
gi|50119186|ref|YP_048353.1|	gi|188532325|ref|YP_001906122.1|
gi|50119187|ref|YP_048354.1|	gi|188532326|ref|YP_001906123.1|
gi|50119188|ref|YP_048355.1|	gi|188533792|ref|YP_001907589.1|
gi|50119189|ref|YP_048356.1|	gi|188532920|ref|YP_001906717.1|
gi|50119190|ref|YP_048357.1|	gi|188534383|ref|YP_001908180.1|
gi|50119191|ref|YP_048358.1|	gi|188534321|ref|YP_001908118.1|
gi|50119192|ref|YP_048359.1|	gi|188532327|ref|YP_001906124.1|
gi|50119193|ref|YP_048360.1|	gi|188532328|ref|YP_001906125.1|
gi|50119194|ref|YP_048361.1|	gi|188532329|ref|YP_001906126.1|
gi|50119195|ref|YP_048362.1|	gi|188532330|ref|YP_001906127.1|
gi|50119196|ref|YP_048363.1|	gi|188532331|ref|YP_001906128.1|
gi|50119197|ref|YP_048364.1|	gi|188532333|ref|YP_001906130.1|
gi|50119198|ref|YP_048365.1|	gi|188532334|ref|YP_001906131.1|
gi|50119199|ref|YP_048366.1|	gi|188532335|ref|YP_001906132.1|
gi|50119200|ref|YP_048367.1|	gi|188532336|ref|YP_001906133.1|
gi|50119201|ref|YP_048368.1|	gi|188532337|ref|YP_001906134.1|
gi|50119202|ref|YP_048369.1|	gi|188532408|ref|YP_001906205.1|
gi|50119203|ref|YP_048370.1|	gi|188532409|ref|YP_001906206.1|
gi|50119204|ref|YP_048371.1|	gi|188532410|ref|YP_001906207.1|
gi|50119205|ref|YP_048372.1|	gi|188532411|ref|YP_001906208.1|
gi|50119206|ref|YP_048373.1|	gi|188534833|ref|YP_001908630.1|
gi|50119207|ref|YP_048374.1|	gi|188534835|ref|YP_001908632.1|
gi|50119208|ref|YP_048375.1|	gi|188533925|ref|YP_001907722.1|
gi|50119209|ref|YP_048376.1|	gi|188535169|ref|YP_001908966.1|
gi|50119210|ref|YP_048377.1|	gi|188534531|ref|YP_001908328.1|
gi|50119211|ref|YP_048378.1|	gi|188532635|ref|YP_001906432.1|
gi|50119212|ref|YP_048379.1|	gi|188534462|ref|YP_001908259.1|
gi|50119213|ref|YP_048380.1|	gi|188533290|ref|YP_001907087.1|
gi|50119214|ref|YP_048381.1|	gi|188534198|ref|YP_001907995.1|
gi|50119215|ref|YP_048382.1|	gi|188532429|ref|YP_001906226.1|
gi|50119216|ref|YP_048383.1|	gi|188532430|ref|YP_001906227.1|
gi|50119217|ref|YP_048384.1|	gi|188533323|ref|YP_001907120.1|
gi|50119218|ref|YP_048385.1|	gi|188532431|ref|YP_001906228.1|
gi|50119219|ref|YP_048386.1|	gi|188532432|ref|YP_001906229.1|
gi|50119220|ref|YP_048387.1|	gi|188532434|ref|YP_001906231.1|
gi|50119221|ref|YP_048388.1|	gi|188532435|ref|YP_001906232.1|
gi|50119222|ref|YP_048389.1|	gi|188532436|ref|YP_001906233.1|
gi|50119223|ref|YP_048390.1|	gi|188532437|ref|YP_001906234.1|
gi|50119224|ref|YP_048391.1|	gi|188532438|ref|YP_001906235.1|
gi|50119225|ref|YP_048392.1|	gi|188532439|ref|YP_001906236.1|
gi|50119226|ref|YP_048393.1|	gi|188532440|ref|YP_001906237.1|
gi|50119227|ref|YP_048394.1|	gi|188532441|ref|YP_001906238.1|
gi|50119228|ref|YP_048395.1|	gi|188532442|ref|YP_001906239.1|
gi|50119229|ref|YP_048396.1|	gi|188532443|ref|YP_001906240.1|
gi|50119230|ref|YP_048397.1|	gi|188532444|ref|YP_001906241.1|
gi|50119231|ref|YP_048398.1|	gi|188532445|ref|YP_001906242.1|
gi|50119232|ref|YP_048399.1|	gi|188532446|ref|YP_001906243.1|
gi|50119233|ref|YP_048400.1|	gi|188532447|ref|YP_001906244.1|
gi|50119234|ref|YP_048401.1|	gi|188534238|ref|YP_001908035.1|
gi|50119235|ref|YP_048402.1|	gi|188534803|ref|YP_001908600.1|
gi|50119236|ref|YP_048403.1|	gi|188532448|ref|YP_001906245.1|
gi|50119237|ref|YP_048404.1|	gi|188532449|ref|YP_001906246.1|
gi|50119238|ref|YP_048405.1|	gi|188532450|ref|YP_001906247.1|
gi|50119239|ref|YP_048406.1|	gi|188532451|ref|YP_001906248.1|
gi|50119240|ref|YP_048407.1|	gi|188533920|ref|YP_001907717.1|
gi|50119241|ref|YP_048408.1|	gi|188535053|ref|YP_001908850.1|
gi|50119242|ref|YP_048409.1|	gi|188535052|ref|YP_001908849.1|
gi|50119243|ref|YP_048410.1|	gi|188533543|ref|YP_001907340.1|
gi|50119244|ref|YP_048411.1|	gi|188532468|ref|YP_001906265.1|
gi|50119245|ref|YP_048412.1|	gi|188532469|ref|YP_001906266.1|
gi|50119246|ref|YP_048413.1|	gi|188532470|ref|YP_001906267.1|
gi|50119247|ref|YP_048414.1|	gi|188532471|ref|YP_001906268.1|
gi|50119248|ref|YP_048415.1|	gi|188532472|ref|YP_001906269.1|
gi|50119249|ref|YP_048416.1|	gi|188532473|ref|YP_001906270.1|
gi|50119250|ref|YP_048417.1|	gi|188532474|ref|YP_001906271.1|
gi|50119251|ref|YP_048418.1|	gi|188532475|ref|YP_001906272.1|
gi|50119252|ref|YP_048419.1|	gi|188532476|ref|YP_001906273.1|
gi|50119253|ref|YP_048420.1|	gi|188532477|ref|YP_001906274.1|
gi|50119254|ref|YP_048421.1|	gi|188532478|ref|YP_001906275.1|
gi|50119255|ref|YP_048422.1|	gi|188532479|ref|YP_001906276.1|
gi|50119256|ref|YP_048423.1|	gi|188532480|ref|YP_001906277.1|
gi|50119257|ref|YP_048424.1|	gi|188532481|ref|YP_001906278.1|
gi|50119258|ref|YP_048425.1|	gi|188532482|ref|YP_001906279.1|
gi|50119259|ref|YP_048426.1|	gi|188532483|ref|YP_001906280.1|
gi|50119260|ref|YP_048427.1|	gi|188532484|ref|YP_001906281.1|
gi|50119261|ref|YP_048428.1|	gi|188532485|ref|YP_001906282.1|
gi|50119262|ref|YP_048429.1|	gi|188532456|ref|YP_001906253.1|
gi|50119263|ref|YP_048430.1|	gi|188532457|ref|YP_001906254.1|
gi|50119264|ref|YP_048431.1|	gi|188532458|ref|YP_001906255.1|
gi|50119265|ref|YP_048432.1|	gi|188532459|ref|YP_001906256.1|
gi|50119266|ref|YP_048433.1|	gi|188532460|ref|YP_001906257.1|
gi|50119267|ref|YP_048434.1|	gi|188532461|ref|YP_001906258.1|
gi|50119268|ref|YP_048435.1|	gi|188532462|ref|YP_001906259.1|
gi|50119269|ref|YP_048436.1|	gi|188532463|ref|YP_001906260.1|
gi|50119270|ref|YP_048437.1|	gi|188534915|ref|YP_001908712.1|
gi|50119271|ref|YP_048438.1|	gi|188535013|ref|YP_001908810.1|
gi|50119271|ref|YP_048438.1|	gi|188535013|ref|YP_001908810.1|
gi|161501884|ref|YP_048439.2|	gi|188532465|ref|YP_001906262.1|
gi|161501884|ref|YP_048439.2|	gi|188532465|ref|YP_001906262.1|
gi|50119273|ref|YP_048440.1|	gi|188534393|ref|YP_001908190.1|
gi|50119274|ref|YP_048441.1|	gi|188532466|ref|YP_001906263.1|
gi|50119275|ref|YP_048442.1|	gi|188535005|ref|YP_001908802.1|
gi|50119276|ref|YP_048443.1|	gi|188534841|ref|YP_001908638.1|
gi|50119277|ref|YP_048444.1|	gi|188532467|ref|YP_001906264.1|
gi|50119278|ref|YP_048445.1|	gi|188535493|ref|YP_001909290.1|
gi|50119279|ref|YP_048446.1|	gi|188535041|ref|YP_001908838.1|
gi|50119280|ref|YP_048447.1|	gi|188535040|ref|YP_001908837.1|
gi|50119281|ref|YP_048448.1|	gi|188535039|ref|YP_001908836.1|
gi|50119282|ref|YP_048449.1|	gi|188535038|ref|YP_001908835.1|
gi|50119283|ref|YP_048450.1|	gi|188535037|ref|YP_001908834.1|
gi|50119284|ref|YP_048451.1|	gi|188532950|ref|YP_001906747.1|
gi|50119285|ref|YP_048452.1|	gi|188534000|ref|YP_001907797.1|
gi|50119286|ref|YP_048453.1|	gi|188532583|ref|YP_001906380.1|
gi|50119287|ref|YP_048454.1|	gi|188532584|ref|YP_001906381.1|
gi|50119288|ref|YP_048455.1|	gi|188532585|ref|YP_001906382.1|
gi|161501883|ref|YP_048456.2|	gi|188532586|ref|YP_001906383.1|
gi|50119290|ref|YP_048457.1|	gi|188532587|ref|YP_001906384.1|
gi|50119291|ref|YP_048458.1|	gi|188532588|ref|YP_001906385.1|
gi|50119292|ref|YP_048459.1|	gi|188532589|ref|YP_001906386.1|
gi|50119293|ref|YP_048460.1|	gi|188532590|ref|YP_001906387.1|
gi|50119294|ref|YP_048461.1|	gi|188532591|ref|YP_001906388.1|
gi|50119295|ref|YP_048462.1|	gi|188532592|ref|YP_001906389.1|
gi|50119296|ref|YP_048463.1|	gi|188532594|ref|YP_001906391.1|
gi|50119297|ref|YP_048464.1|	gi|188534933|ref|YP_001908730.1|
gi|50119298|ref|YP_048465.1|	gi|188534933|ref|YP_001908730.1|
gi|50119299|ref|YP_048466.1|	gi|188533418|ref|YP_001907215.1|
gi|50119300|ref|YP_048467.1|	gi|188533418|ref|YP_001907215.1|
gi|50119301|ref|YP_048468.1|	gi|188532470|ref|YP_001906267.1|
gi|50119302|ref|YP_048469.1|	gi|188535042|ref|YP_001908839.1|
gi|50119303|ref|YP_048470.1|	gi|188534395|ref|YP_001908192.1|
gi|50119304|ref|YP_048471.1|	gi|188532595|ref|YP_001906392.1|
gi|50119305|ref|YP_048472.1|	gi|188532596|ref|YP_001906393.1|
gi|50119306|ref|YP_048473.1|	gi|188532597|ref|YP_001906394.1|
gi|50119307|ref|YP_048474.1|	gi|188533541|ref|YP_001907338.1|
gi|50119308|ref|YP_048475.1|	gi|188532598|ref|YP_001906395.1|
gi|50119309|ref|YP_048476.1|	gi|188533723|ref|YP_001907520.1|
gi|50119310|ref|YP_048477.1|	gi|188533578|ref|YP_001907375.1|
gi|50119311|ref|YP_048478.1|	gi|188532599|ref|YP_001906396.1|
gi|50119312|ref|YP_048479.1|	gi|188532602|ref|YP_001906399.1|
gi|50119313|ref|YP_048480.1|	gi|188532603|ref|YP_001906400.1|
gi|50119314|ref|YP_048481.1|	gi|188534288|ref|YP_001908085.1|
gi|50119315|ref|YP_048482.1|	gi|188535056|ref|YP_001908853.1|
gi|50119316|ref|YP_048483.1|	gi|188533184|ref|YP_001906981.1|
gi|50119317|ref|YP_048484.1|	gi|188532604|ref|YP_001906401.1|
gi|50119318|ref|YP_048485.1|	gi|188532605|ref|YP_001906402.1|
gi|50119319|ref|YP_048486.1|	gi|188534008|ref|YP_001907805.1|
