	query_id_x	subject_id_x	percentage_identity_x	percentage_identity_y	query_coverage_x	query_coverage_y	subject_coverage_x	subject_coverage_y	bitscore_x	bitscore_y	Evalue_x	Evalue_y
45	gi|50119013|ref|YP_048180.1|	gi|261823676|ref|YP_003261782.1|	99.33	99.33	100	100	100	100	922.0	922.0	0.0	0.0
46	gi|50119014|ref|YP_048181.1|	gi|261823675|ref|YP_003261781.1|	97.25	97.25	100	100	100	100	880.0	880.0	0.0	0.0
47	gi|50119015|ref|YP_048182.1|	gi|261823674|ref|YP_003261780.1|	96.99	96.99	100	100	100	100	1269.0	1269.0	0.0	0.0
48	gi|50119016|ref|YP_048183.1|	gi|261823673|ref|YP_003261779.1|	97.17	97.17	99	99	99	99	482.0	482.0	9.999999999999998e-175	9.999999999999998e-175
49	gi|50119017|ref|YP_048184.1|	gi|261823672|ref|YP_003261778.1|	97.5	97.5	100	100	100	100	1383.0	1383.0	0.0	0.0
50	gi|50119022|ref|YP_048189.1|	gi|261823669|ref|YP_003261775.1|	98.97	98.97	100	100	100	100	199.0	199.0	5.999999999999998e-68	5.999999999999998e-68
51	gi|50119023|ref|YP_048190.1|	gi|261823665|ref|YP_003261771.1|	97.14	97.14	100	100	100	100	560.0	560.0	0.0	0.0
52	gi|50119024|ref|YP_048191.1|	gi|261823664|ref|YP_003261770.1|	99.11	99.11	100	100	100	100	924.0	924.0	0.0	0.0
53	gi|50119027|ref|YP_048194.1|	gi|261823660|ref|YP_003261766.1|	91.36	91.36	100	100	100	100	565.0	565.0	0.0	0.0
54	gi|50119029|ref|YP_048196.1|	gi|261823658|ref|YP_003261764.1|	96.14	96.14	100	100	100	100	400.0	400.0	8.999999999999998e-144	8.999999999999998e-144
55	gi|50119030|ref|YP_048197.1|	gi|261823657|ref|YP_003261763.1|	89.31	89.31	100	100	100	100	530.0	530.0	0.0	0.0
56	gi|50119031|ref|YP_048198.1|	gi|261823656|ref|YP_003261762.1|	97.63	97.63	100	100	100	100	347.0	347.0	5.999999999999998e-124	5.999999999999998e-124
57	gi|50119032|ref|YP_048199.1|	gi|261823654|ref|YP_003261760.1|	94.16	94.16	99	100	100	99	724.0	724.0	0.0	0.0
58	gi|50119033|ref|YP_048200.1|	gi|261823653|ref|YP_003261759.1|	96.8	96.8	100	100	100	100	669.0	669.0	0.0	0.0
59	gi|50119034|ref|YP_048201.1|	gi|261823652|ref|YP_003261758.1|	96.81	96.81	100	100	100	100	1095.0	1095.0	0.0	0.0
60	gi|50119035|ref|YP_048202.1|	gi|261823651|ref|YP_003261757.1|	95.45	95.45	100	100	100	100	528.0	528.0	0.0	0.0
61	gi|50119036|ref|YP_048203.1|	gi|261823650|ref|YP_003261756.1|	97.13	97.13	100	100	100	100	594.0	594.0	0.0	0.0
62	gi|50119037|ref|YP_048204.1|	gi|261823649|ref|YP_003261755.1|	95.6	95.6	100	100	100	100	1040.0	1046.0	0.0	0.0
63	gi|161501886|ref|YP_048206.2|	gi|261823648|ref|YP_003261754.1|	96.25	96.25	100	100	100	100	635.0	635.0	0.0	0.0
64	gi|50119041|ref|YP_048208.1|	gi|261823647|ref|YP_003261753.1|	90.66	90.66	100	100	100	100	1194.0	1194.0	0.0	0.0
65	gi|50119042|ref|YP_048209.1|	gi|261823646|ref|YP_003261752.1|	87.76	87.76	100	90	90	100	275.0	275.0	5.9999999999999994e-96	6.999999999999999e-96
66	gi|50119043|ref|YP_048210.1|	gi|261823645|ref|YP_003261751.1|	96.26	96.26	100	100	100	100	385.0	385.0	1.9999999999999995e-138	1.9999999999999995e-138
67	gi|50119044|ref|YP_048211.1|	gi|261823644|ref|YP_003261750.1|	95.76	95.76	95	88	88	95	423.0	424.0	4.999999999999998e-151	1.9999999999999995e-151
68	gi|50119045|ref|YP_048212.1|	gi|261823643|ref|YP_003261749.1|	98.06	98.06	101	100	100	101	629.0	629.0	0.0	0.0
69	gi|50119046|ref|YP_048213.1|	gi|261823642|ref|YP_003261748.1|	98.11	98.11	100	100	100	100	1380.0	1380.0	0.0	0.0
70	gi|50119047|ref|YP_048214.1|	gi|261823641|ref|YP_003261747.1|	93.16	93.16	100	98	98	100	442.0	442.0	2.999999999999999e-159	2.999999999999999e-159
71	gi|50119048|ref|YP_048215.1|	gi|261823640|ref|YP_003261746.1|	98.43	98.43	100	100	100	100	1261.0	1261.0	0.0	0.0
72	gi|50119049|ref|YP_048216.1|	gi|261823639|ref|YP_003261745.1|	96.6	96.6	100	100	100	100	757.0	757.0	0.0	0.0
73	gi|50119050|ref|YP_048217.1|	gi|261823638|ref|YP_003261744.1|	98.38	98.38	92	98	98	92	367.0	367.0	5.999999999999999e-131	5.999999999999999e-131
74	gi|50119051|ref|YP_048218.1|	gi|261823637|ref|YP_003261743.1|	95.0	95.0	100	100	100	100	230.0	230.0	1.9999999999999994e-79	1.9999999999999994e-79
75	gi|50119052|ref|YP_048219.1|	gi|261823636|ref|YP_003261742.1|	94.59	94.59	99	99	99	99	1154.0	1153.0	0.0	0.0
76	gi|50119053|ref|YP_048220.1|	gi|261823635|ref|YP_003261741.1|	97.6	97.6	100	100	100	100	417.0	417.0	3.9999999999999984e-150	3.9999999999999984e-150
77	gi|50119054|ref|YP_048221.1|	gi|261823634|ref|YP_003261740.1|	92.78	92.78	100	100	100	100	532.0	532.0	0.0	0.0
78	gi|50119055|ref|YP_048222.1|	gi|261823633|ref|YP_003261739.1|	97.65	97.65	100	100	100	100	1044.0	1044.0	0.0	0.0
79	gi|50119056|ref|YP_048223.1|	gi|261823632|ref|YP_003261738.1|	95.45	95.45	100	100	100	100	642.0	642.0	0.0	0.0
80	gi|50119057|ref|YP_048224.1|	gi|261823631|ref|YP_003261737.1|	95.67	95.67	100	100	100	100	896.0	902.0	0.0	0.0
81	gi|50119058|ref|YP_048225.1|	gi|261823630|ref|YP_003261736.1|	97.72	97.72	99	99	99	99	899.0	899.0	0.0	0.0
82	gi|50119059|ref|YP_048226.1|	gi|261823629|ref|YP_003261735.1|	98.8	98.8	100	100	100	100	665.0	665.0	0.0	0.0
83	gi|50119060|ref|YP_048227.1|	gi|261823628|ref|YP_003261734.1|	96.49	96.49	100	100	100	100	1020.0	1020.0	0.0	0.0
84	gi|50119061|ref|YP_048228.1|	gi|261823627|ref|YP_003261733.1|	99.49	99.49	100	100	100	100	765.0	765.0	0.0	0.0
85	gi|50119062|ref|YP_048229.1|	gi|261823625|ref|YP_003261731.1|	98.47	98.47	100	100	100	100	804.0	804.0	0.0	0.0
86	gi|50119063|ref|YP_048230.1|	gi|261823624|ref|YP_003261730.1|	98.43	98.43	100	100	100	100	390.0	390.0	3.999999999999999e-140	3.999999999999999e-140
87	gi|50119065|ref|YP_048232.1|	gi|261823623|ref|YP_003261729.1|	99.33	99.33	100	100	100	100	927.0	927.0	0.0	0.0
88	gi|50119066|ref|YP_048233.1|	gi|261823622|ref|YP_003261728.1|	72.95	72.95	95	95	95	95	337.0	337.0	1.9999999999999995e-118	1.9999999999999995e-118
89	gi|50119068|ref|YP_048235.1|	gi|261823620|ref|YP_003261726.1|	87.47	87.47	100	99	99	100	729.0	729.0	0.0	0.0
90	gi|161501885|ref|YP_048236.2|	gi|261823617|ref|YP_003261723.1|	98.23	98.23	100	100	100	100	218.0	218.0	9e-75	9e-75
91	gi|50119070|ref|YP_048237.1|	gi|261823616|ref|YP_003261722.1|	99.7	99.7	99	100	100	99	683.0	683.0	0.0	0.0
92	gi|50119071|ref|YP_048238.1|	gi|261823615|ref|YP_003261721.1|	93.57	93.57	100	100	100	100	667.0	667.0	0.0	0.0
93	gi|50119072|ref|YP_048239.1|	gi|261823614|ref|YP_003261720.1|	95.9	95.9	100	100	100	100	535.0	535.0	0.0	0.0
94	gi|50119073|ref|YP_048240.1|	gi|261823613|ref|YP_003261719.1|	93.69	93.69	100	100	100	100	827.0	827.0	0.0	0.0
95	gi|50119074|ref|YP_048241.1|	gi|261823612|ref|YP_003261718.1|	95.39	95.39	100	100	100	100	412.0	412.0	4.9999999999999985e-148	4.9999999999999985e-148
96	gi|50119075|ref|YP_048242.1|	gi|261823611|ref|YP_003261717.1|	93.75	93.75	99	98	98	99	673.0	672.0	0.0	0.0
97	gi|50119076|ref|YP_048243.1|	gi|261823610|ref|YP_003261716.1|	89.18	89.18	99	100	100	99	679.0	706.0	0.0	0.0
98	gi|50119077|ref|YP_048244.1|	gi|261823609|ref|YP_003261715.1|	95.32	95.32	100	100	100	100	721.0	721.0	0.0	0.0
99	gi|50119078|ref|YP_048245.1|	gi|261823608|ref|YP_003261714.1|	83.12	83.12	99	100	100	99	524.0	524.0	0.0	0.0
100	gi|50119079|ref|YP_048246.1|	gi|261823607|ref|YP_003261713.1|	98.12	98.12	100	100	100	100	968.0	968.0	0.0	0.0
101	gi|50119080|ref|YP_048247.1|	gi|261823606|ref|YP_003261712.1|	96.63	96.63	100	100	100	100	756.0	756.0	0.0	0.0
102	gi|50119081|ref|YP_048248.1|	gi|261823604|ref|YP_003261710.1|	94.49	94.49	91	102	102	91	743.0	743.0	0.0	0.0
103	gi|50119083|ref|YP_048250.1|	gi|261823603|ref|YP_003261709.1|	78.91	78.91	100	89	89	100	220.0	220.0	8e-75	9e-75
104	gi|50119084|ref|YP_048251.1|	gi|261823602|ref|YP_003261708.1|	87.98	87.98	100	100	100	100	341.0	341.0	5.999999999999998e-121	5.999999999999998e-121
105	gi|50119085|ref|YP_048252.1|	gi|261823601|ref|YP_003261707.1|	87.03	87.03	100	100	100	100	325.0	344.0	1.9999999999999997e-114	2.9999999999999995e-122
106	gi|50119086|ref|YP_048253.1|	gi|261823600|ref|YP_003261706.1|	55.36	55.36	74	98	98	74	68.2	68.2	2e-17	2e-17
107	gi|50119089|ref|YP_048256.1|	gi|261819820|ref|YP_003257926.1|	54.84	54.84	93	83	83	93	90.9	90.9	4e-25	4e-25
108	gi|50119091|ref|YP_048258.1|	gi|261823598|ref|YP_003261704.1|	98.61	98.61	100	100	100	100	563.0	563.0	0.0	0.0
109	gi|50119092|ref|YP_048259.1|	gi|261823597|ref|YP_003261703.1|	98.67	98.67	99	99	99	99	611.0	611.0	0.0	0.0
110	gi|50119093|ref|YP_048260.1|	gi|261823596|ref|YP_003261702.1|	97.46	97.46	100	100	100	100	631.0	631.0	0.0	0.0
111	gi|50119094|ref|YP_048261.1|	gi|261823595|ref|YP_003261701.1|	98.53	98.53	100	100	100	100	557.0	557.0	0.0	0.0
112	gi|50119095|ref|YP_048262.1|	gi|261823594|ref|YP_003261700.1|	97.5	97.5	100	100	100	100	698.0	698.0	0.0	0.0
113	gi|50119096|ref|YP_048263.1|	gi|261823593|ref|YP_003261699.1|	98.33	98.33	100	100	100	100	580.0	580.0	0.0	0.0
114	gi|50119097|ref|YP_048264.1|	gi|261823592|ref|YP_003261698.1|	99.35	99.35	100	100	100	100	597.0	597.0	0.0	0.0
115	gi|50119098|ref|YP_048265.1|	gi|261823591|ref|YP_003261697.1|	97.47	97.47	100	100	100	100	1035.0	1035.0	0.0	0.0
116	gi|50119099|ref|YP_048266.1|	gi|261823590|ref|YP_003261696.1|	96.28	96.28	100	99	99	100	1220.0	1220.0	0.0	0.0
117	gi|50119100|ref|YP_048267.1|	gi|261823589|ref|YP_003261695.1|	91.61	91.61	100	100	100	100	592.0	592.0	0.0	0.0
118	gi|50119101|ref|YP_048268.1|	gi|261823588|ref|YP_003261694.1|	99.16	99.16	100	100	100	100	481.0	481.0	9.999999999999998e-175	9.999999999999998e-175
119	gi|50119102|ref|YP_048269.1|	gi|261823587|ref|YP_003261693.1|	98.59	98.59	100	100	100	100	427.0	427.0	3.999999999999999e-154	3.999999999999999e-154
120	gi|50119103|ref|YP_048270.1|	gi|261823586|ref|YP_003261692.1|	100.0	100.0	100	100	100	100	400.0	400.0	9.999999999999996e-144	9.999999999999996e-144
121	gi|50119104|ref|YP_048271.1|	gi|261823585|ref|YP_003261691.1|	99.34	99.34	100	100	100	100	308.0	308.0	4.999999999999999e-109	4.999999999999999e-109
122	gi|50119105|ref|YP_048272.1|	gi|261823584|ref|YP_003261690.1|	98.07	98.07	97	100	100	97	836.0	836.0	0.0	0.0
123	gi|50119106|ref|YP_048273.1|	gi|261823583|ref|YP_003261689.1|	96.83	96.83	100	100	100	100	437.0	437.0	9.999999999999998e-158	9.999999999999998e-158
124	gi|50119107|ref|YP_048274.1|	gi|261823582|ref|YP_003261688.1|	98.72	98.72	100	100	100	100	160.0	160.0	5e-53	5e-53
125	gi|50119108|ref|YP_048275.1|	gi|261823581|ref|YP_003261687.1|	100.0	100.0	100	100	100	100	111.0	111.0	2e-34	2e-34
126	gi|50119109|ref|YP_048276.1|	gi|261823580|ref|YP_003261686.1|	94.78	94.78	99	99	99	99	528.0	528.0	0.0	0.0
127	gi|50119111|ref|YP_048278.1|	gi|261823578|ref|YP_003261684.1|	94.3	94.3	99	96	96	99	305.0	305.0	9.999999999999999e-108	9.999999999999999e-108
128	gi|50119112|ref|YP_048279.1|	gi|261823577|ref|YP_003261683.1|	96.71	96.71	100	100	100	100	848.0	848.0	0.0	0.0
129	gi|50119113|ref|YP_048280.1|	gi|261823576|ref|YP_003261682.1|	83.22	83.22	99	100	100	99	490.0	490.0	1.9999999999999993e-176	1.9999999999999993e-176
130	gi|50119114|ref|YP_048281.1|	gi|261823575|ref|YP_003261681.1|	85.1	85.1	100	98	98	100	459.0	459.0	3.999999999999999e-165	3.999999999999999e-165
131	gi|50119115|ref|YP_048282.1|	gi|261823574|ref|YP_003261680.1|	82.66	82.66	100	99	99	100	427.0	412.0	5.999999999999998e-153	7.999999999999998e-147
132	gi|50119117|ref|YP_048284.1|	gi|261823572|ref|YP_003261678.1|	81.47	81.47	99	98	98	99	443.0	402.0	9.999999999999999e-159	1.9999999999999994e-142
133	gi|50119118|ref|YP_048285.1|	gi|261823571|ref|YP_003261677.1|	84.78	84.78	99	99	99	99	546.0	572.0	0.0	0.0
134	gi|50119119|ref|YP_048286.1|	gi|261823570|ref|YP_003261676.1|	87.2	87.2	100	100	100	100	620.0	620.0	0.0	0.0
135	gi|50119120|ref|YP_048287.1|	gi|261823569|ref|YP_003261675.1|	92.99	92.99	99	100	100	99	715.0	715.0	0.0	0.0
136	gi|50119121|ref|YP_048288.1|	gi|261823568|ref|YP_003261674.1|	90.4	90.4	99	99	99	99	668.0	668.0	0.0	0.0
137	gi|50119122|ref|YP_048289.1|	gi|261823567|ref|YP_003261673.1|	87.5	87.5	100	99	99	100	694.0	714.0	0.0	0.0
138	gi|50119123|ref|YP_048290.1|	gi|261823565|ref|YP_003261671.1|	90.4	90.4	100	100	100	100	773.0	770.0	0.0	0.0
139	gi|50119124|ref|YP_048291.1|	gi|261823564|ref|YP_003261670.1|	92.97	92.97	100	100	100	100	623.0	623.0	0.0	0.0
140	gi|50119125|ref|YP_048292.1|	gi|261823563|ref|YP_003261669.1|	93.24	93.24	100	100	100	100	682.0	682.0	0.0	0.0
141	gi|50119126|ref|YP_048293.1|	gi|261823562|ref|YP_003261668.1|	97.42	97.42	100	100	100	100	630.0	630.0	0.0	0.0
142	gi|50119127|ref|YP_048294.1|	gi|261823561|ref|YP_003261667.1|	93.47	93.47	100	100	100	100	764.0	764.0	0.0	0.0
143	gi|50119128|ref|YP_048295.1|	gi|261823560|ref|YP_003261666.1|	98.25	98.25	94	99	99	94	698.0	698.0	0.0	0.0
144	gi|50119129|ref|YP_048296.1|	gi|261823559|ref|YP_003261665.1|	94.6	94.6	100	100	100	100	588.0	588.0	0.0	0.0
145	gi|50119130|ref|YP_048297.1|	gi|261823558|ref|YP_003261664.1|	96.77	96.77	100	100	100	100	835.0	835.0	0.0	0.0
146	gi|50119131|ref|YP_048298.1|	gi|261823557|ref|YP_003261663.1|	97.2	97.2	100	100	100	100	282.0	282.0	4.999999999999999e-99	4.999999999999999e-99
147	gi|50119132|ref|YP_048299.1|	gi|261823556|ref|YP_003261662.1|	99.37	99.37	100	100	100	100	325.0	325.0	9.999999999999997e-116	1.9999999999999994e-115
148	gi|50119133|ref|YP_048300.1|	gi|261823555|ref|YP_003261661.1|	98.23	98.23	100	100	100	100	679.0	679.0	0.0	0.0
149	gi|50119134|ref|YP_048301.1|	gi|261823554|ref|YP_003261660.1|	97.44	97.44	100	100	100	100	551.0	551.0	0.0	0.0
150	gi|50119135|ref|YP_048302.1|	gi|261823553|ref|YP_003261659.1|	84.33	84.33	100	103	103	100	374.0	364.0	6.999999999999998e-133	2.999999999999999e-129
151	gi|50119139|ref|YP_048306.1|	gi|261823551|ref|YP_003261657.1|	96.66	96.66	100	100	100	100	585.0	585.0	0.0	0.0
152	gi|50119140|ref|YP_048307.1|	gi|261823550|ref|YP_003261656.1|	98.07	98.07	100	100	100	100	626.0	626.0	0.0	0.0
153	gi|50119141|ref|YP_048308.1|	gi|261823549|ref|YP_003261655.1|	98.14	98.14	100	100	100	100	1525.0	1525.0	0.0	0.0
154	gi|50119142|ref|YP_048309.1|	gi|261823548|ref|YP_003261654.1|	90.13	90.13	99	99	99	99	941.0	971.0	0.0	0.0
155	gi|50119143|ref|YP_048310.1|	gi|261823547|ref|YP_003261653.1|	93.51	93.51	100	100	100	100	1014.0	1010.0	0.0	0.0
156	gi|50119144|ref|YP_048311.1|	gi|261823546|ref|YP_003261652.1|	96.35	96.35	99	99	99	99	550.0	550.0	0.0	0.0
157	gi|50119145|ref|YP_048312.1|	gi|261823545|ref|YP_003261651.1|	98.44	98.44	100	100	100	100	518.0	518.0	0.0	0.0
158	gi|50119146|ref|YP_048313.1|	gi|261823544|ref|YP_003261650.1|	98.46	98.46	100	100	100	100	526.0	526.0	0.0	0.0
159	gi|50119147|ref|YP_048314.1|	gi|261823543|ref|YP_003261649.1|	98.29	98.29	100	100	100	100	1779.0	1779.0	0.0	0.0
160	gi|50119148|ref|YP_048315.1|	gi|261823480|ref|YP_003261586.1|	93.65	93.65	100	99	99	100	868.0	868.0	0.0	0.0
161	gi|50119149|ref|YP_048316.1|	gi|261823479|ref|YP_003261585.1|	98.75	98.75	100	100	100	100	825.0	825.0	0.0	0.0
162	gi|50119150|ref|YP_048317.1|	gi|261823478|ref|YP_003261584.1|	99.58	99.58	98	100	100	98	491.0	491.0	1.9999999999999994e-178	1.9999999999999994e-178
163	gi|50119151|ref|YP_048318.1|	gi|261823477|ref|YP_003261583.1|	98.69	98.69	100	100	100	100	784.0	784.0	0.0	0.0
164	gi|50119152|ref|YP_048319.1|	gi|261823476|ref|YP_003261582.1|	97.9	97.9	100	100	100	100	680.0	680.0	0.0	0.0
165	gi|50119153|ref|YP_048320.1|	gi|261823475|ref|YP_003261581.1|	98.83	98.83	100	100	100	100	503.0	503.0	0.0	0.0
166	gi|50119154|ref|YP_048321.1|	gi|261823474|ref|YP_003261580.1|	98.25	98.25	100	100	100	100	921.0	921.0	0.0	0.0
167	gi|50119155|ref|YP_048322.1|	gi|261823473|ref|YP_003261579.1|	97.44	97.44	99	97	97	99	999.0	999.0	0.0	0.0
168	gi|50119156|ref|YP_048323.1|	gi|261823472|ref|YP_003261578.1|	98.8	98.8	100	100	100	100	515.0	515.0	0.0	0.0
169	gi|50119157|ref|YP_048324.1|	gi|261823471|ref|YP_003261577.1|	93.72	93.72	100	100	100	100	390.0	390.0	9.999999999999998e-140	9.999999999999998e-140
170	gi|50119158|ref|YP_048325.1|	gi|261823470|ref|YP_003261576.1|	96.52	96.52	100	100	100	100	1080.0	1080.0	0.0	0.0
171	gi|50119159|ref|YP_048326.1|	gi|261823469|ref|YP_003261575.1|	90.7	90.7	100	100	100	100	158.0	158.0	2.9999999999999997e-52	2.9999999999999997e-52
172	gi|50119160|ref|YP_048327.1|	gi|261823468|ref|YP_003261574.1|	82.67	82.67	102	99	99	102	330.0	330.0	4.9999999999999986e-116	4.9999999999999986e-116
173	gi|50119161|ref|YP_048328.1|	gi|261823467|ref|YP_003261573.1|	93.95	93.95	98	99	99	98	471.0	471.0	5.999999999999997e-170	6.999999999999998e-170
174	gi|50119162|ref|YP_048329.1|	gi|261823466|ref|YP_003261572.1|	94.23	94.23	100	100	100	100	510.0	510.0	0.0	0.0
175	gi|50119163|ref|YP_048330.1|	gi|261823465|ref|YP_003261571.1|	96.76	96.76	100	100	100	100	689.0	689.0	0.0	0.0
176	gi|50119164|ref|YP_048331.1|	gi|261823464|ref|YP_003261570.1|	91.36	91.36	100	100	100	100	312.0	312.0	2.999999999999999e-110	2.999999999999999e-110
177	gi|50119165|ref|YP_048332.1|	gi|261823463|ref|YP_003261569.1|	98.8	98.8	100	100	100	100	1025.0	1025.0	0.0	0.0
