#A_id	B_id	A_length	B_length	A_qcovhsp	B_qcovhsp	length	pident	bitscore
gi|50119014|ref|YP_048181.1|	1_1914	437	437	99	99	436	60.09	  555
gi|50119016|ref|YP_048183.1|	1_4166	248	250	100	99	248	83.87	  364
gi|50119017|ref|YP_048184.1|	1_4165	680	680	99	99	679	85.42	 1211
gi|50119022|ref|YP_048189.1|	1_4164	97	94	95	97	92	61.96	  119
gi|50119023|ref|YP_048190.1|	1_4163	280	280	100	100	280	83.57	  492
gi|50119024|ref|YP_048191.1|	1_4157	450	450	100	100	450	90.44	  827
gi|50119027|ref|YP_048194.1|	1_3548	301	299	96	96	291	50.52	  288
gi|50119028|ref|YP_048195.1|	1_1544	251	250	92	91	228	71.55	  363
gi|50119029|ref|YP_048196.1|	1_623	207	216	96	95	206	33.01	  107
gi|50119030|ref|YP_048197.1|	1_2139	290	297	99	97	290	54.48	  299
gi|50119031|ref|YP_048198.1|	1_2140	169	168	99	100	168	77.98	  291
gi|50119032|ref|YP_048199.1|	1_4135	378	372	98	99	372	73.39	  538
gi|50119033|ref|YP_048200.1|	1_4134	344	346	100	100	346	79.48	  546
gi|50119034|ref|YP_048201.1|	1_4133	565	559	96	99	557	79.89	  877
gi|50119035|ref|YP_048202.1|	1_4132	286	286	100	100	286	80.77	  419
gi|50119036|ref|YP_048203.1|	1_4131	314	313	98	98	307	79.80	  410
gi|50119037|ref|YP_048204.1|	1_4130	545	547	100	100	547	83.18	  910
gi|50119038|ref|YP_048205.1|	1_4036	400	503	45	34	181	25.41	41.2
gi|161501886|ref|YP_048206.2|	1_4126	320	320	100	100	320	74.69	  475
gi|50119041|ref|YP_048208.1|	1_2142	650	652	100	100	656	60.06	  751
gi|50119042|ref|YP_048209.1|	1_4125	147	151	95	93	140	60.00	  180
gi|50119043|ref|YP_048210.1|	1_4124	187	186	99	100	186	79.03	  320
gi|50119044|ref|YP_048211.1|	1_4123	247	268	96	88	236	89.41	  388
gi|50119045|ref|YP_048212.1|	1_4122	304	304	100	100	304	97.04	  624
gi|50119046|ref|YP_048213.1|	1_4121	689	689	100	100	689	89.11	 1244
gi|50119047|ref|YP_048214.1|	1_4105	234	235	97	97	227	55.95	  268
gi|50119048|ref|YP_048215.1|	1_4104	635	635	100	100	636	85.06	 1033
gi|50119049|ref|YP_048216.1|	1_4103	382	383	100	99	382	83.25	  633
gi|50119050|ref|YP_048217.1|	1_4102	200	176	88	100	176	80.11	  269
gi|50119052|ref|YP_048219.1|	1_4101	630	628	100	100	632	60.76	  707
gi|50119053|ref|YP_048220.1|	1_4100	208	208	100	100	208	87.50	  384
gi|50119054|ref|YP_048221.1|	1_4099	277	274	95	96	263	80.23	  436
gi|50119055|ref|YP_048222.1|	1_4098	511	512	100	100	512	84.57	  920
gi|50119056|ref|YP_048223.1|	1_2102	330	334	40	42	141	29.08	60.8
gi|50119057|ref|YP_048224.1|	1_4097	485	486	100	99	485	80.62	  754
gi|50119058|ref|YP_048225.1|	1_4096	439	439	100	100	439	87.02	  815
gi|50119059|ref|YP_048226.1|	1_4095	332	331	99	100	331	87.01	  596
gi|50119060|ref|YP_048227.1|	1_4094	513	513	100	100	513	86.55	  909
gi|50119061|ref|YP_048228.1|	1_4093	393	394	99	99	393	83.46	  607
gi|50119062|ref|YP_048229.1|	1_4092	392	401	99	98	391	88.75	  729
gi|50119063|ref|YP_048230.1|	1_4091	191	191	100	100	191	87.43	  357
gi|50119065|ref|YP_048232.1|	1_4088	448	449	100	100	450	91.33	  861
gi|50119066|ref|YP_048233.1|	1_4055	216	212	98	100	212	62.74	  289
gi|50119068|ref|YP_048235.1|	1_1737	398	433	97	90	391	68.54	  550
gi|161501885|ref|YP_048236.2|	1_1738	113	113	97	97	110	74.55	  169
gi|50119071|ref|YP_048238.1|	1_2534	342	329	96	98	339	27.73	77.4
gi|50119088|ref|YP_048255.1|	1_1404	416	429	94	89	405	29.88	  134
gi|50119089|ref|YP_048256.1|	1_401	100	112	91	83	93	53.76	83.6
gi|50119091|ref|YP_048258.1|	1_4044	287	287	100	100	287	87.11	  509
gi|50119092|ref|YP_048259.1|	1_4043	302	302	100	100	302	78.48	  487
gi|50119093|ref|YP_048260.1|	1_4034	315	319	99	99	318	78.62	  513
gi|50119094|ref|YP_048261.1|	1_4033	273	273	100	100	273	82.42	  468
gi|50119095|ref|YP_048262.1|	1_4032	360	352	96	99	347	85.01	  584
gi|50119096|ref|YP_048263.1|	1_4031	299	300	100	100	300	87.00	  497
gi|50119097|ref|YP_048264.1|	1_4030	306	306	100	100	306	89.54	  535
gi|50119098|ref|YP_048265.1|	1_4029	513	518	100	100	518	84.17	  874
gi|50119099|ref|YP_048266.1|	1_4028	619	631	99	97	610	85.41	 1073
gi|50119100|ref|YP_048267.1|	1_4027	322	321	99	100	321	71.03	  454
gi|50119101|ref|YP_048268.1|	1_4023	238	238	100	100	238	90.76	  430
gi|50119102|ref|YP_048269.1|	1_4022	213	213	100	100	213	90.14	  401
gi|50119103|ref|YP_048270.1|	1_4021	198	198	99	99	197	93.40	  352
gi|50119104|ref|YP_048271.1|	1_4020	152	152	99	99	151	90.07	  283
gi|50119105|ref|YP_048272.1|	1_4019	425	423	97	99	423	78.25	  645
gi|50119106|ref|YP_048273.1|	1_4018	221	221	100	100	221	78.28	  361
gi|50119107|ref|YP_048274.1|	1_4017	78	78	100	100	78	94.87	  156
gi|50119108|ref|YP_048275.1|	1_4016	55	55	100	100	55	94.55	  106
gi|50119109|ref|YP_048276.1|	1_4015	269	269	99	99	268	83.58	  462
gi|50119111|ref|YP_048278.1|	1_4014	159	159	99	99	158	82.91	  282
gi|50119112|ref|YP_048279.1|	1_4012	425	427	100	99	425	74.82	  673
gi|50119114|ref|YP_048281.1|	1_4013	255	263	98	94	251	65.34	  351
gi|50119120|ref|YP_048287.1|	1_4008	372	372	85	86	331	25.98	97.1
gi|50119121|ref|YP_048288.1|	1_4007	356	361	96	97	354	31.92	  176
gi|50119124|ref|YP_048291.1|	1_4006	327	323	91	92	296	81.76	  490
gi|50119125|ref|YP_048292.1|	1_4005	355	350	97	98	343	83.97	  606
gi|50119126|ref|YP_048293.1|	1_4004	310	310	99	99	308	90.26	  589
gi|50119127|ref|YP_048294.1|	1_4003	398	398	99	99	397	79.60	  632
gi|50119128|ref|YP_048295.1|	1_4002	361	340	94	100	340	82.94	  599
gi|50119129|ref|YP_048296.1|	1_4001	315	314	90	92	290	71.38	  420
gi|50119130|ref|YP_048297.1|	1_4000	433	424	94	96	409	78.48	  574
gi|50119131|ref|YP_048298.1|	1_3999	143	143	100	100	143	84.62	  254
gi|50119132|ref|YP_048299.1|	1_3998	158	156	100	100	158	86.71	  282
gi|50119133|ref|YP_048300.1|	1_3997	339	339	100	100	339	91.15	  641
gi|50119134|ref|YP_048301.1|	1_3996	273	273	100	100	273	90.84	  512
gi|50119135|ref|YP_048302.1|	1_3995	217	201	83	80	160	71.58	  279
gi|50119139|ref|YP_048306.1|	1_3994	299	299	100	100	299	77.93	  486
gi|50119140|ref|YP_048307.1|	1_3993	311	312	99	98	307	90.88	  572
gi|50119141|ref|YP_048308.1|	1_3992	754	755	99	99	753	91.10	 1407
gi|50119142|ref|YP_048309.1|	1_3436	542	566	96	93	526	66.92	  649
gi|50119144|ref|YP_048311.1|	1_3991	275	275	99	99	274	72.63	  430
gi|50119145|ref|YP_048312.1|	1_3990	256	253	98	99	252	84.13	  444
gi|50119146|ref|YP_048313.1|	1_3989	260	260	95	100	246	70.33	  367
gi|50119147|ref|YP_048314.1|	1_3988	879	879	100	100	879	88.51	 1597
gi|50119151|ref|YP_048318.1|	1_3987	383	383	100	100	383	86.95	  686
gi|50119152|ref|YP_048319.1|	1_3986	334	334	100	100	334	88.92	  620
gi|50119153|ref|YP_048320.1|	1_3985	257	257	100	100	257	90.27	  460
gi|50119154|ref|YP_048321.1|	1_3984	457	457	100	100	457	91.90	  850
gi|50119155|ref|YP_048322.1|	1_3983	509	510	95	95	483	79.50	  723
gi|50119156|ref|YP_048323.1|	1_3982	251	251	100	100	251	86.45	  460
gi|50119157|ref|YP_048324.1|	1_3981	207	202	99	99	205	67.80	  268
gi|50119158|ref|YP_048325.1|	1_3980	546	545	100	100	546	86.26	  948
gi|50119159|ref|YP_048326.1|	1_3979	86	84	100	100	86	76.74	  129
gi|50119160|ref|YP_048327.1|	1_3978	197	188	71	67	141	68.79	  182
gi|50119161|ref|YP_048328.1|	1_3977	251	256	99	96	248	90.32	  448
gi|50119162|ref|YP_048329.1|	1_3976	260	264	99	98	258	76.36	  421
gi|50119163|ref|YP_048330.1|	1_3975	340	340	100	100	340	88.53	  617
gi|50119164|ref|YP_048331.1|	1_3974	162	162	100	100	162	82.72	  284
gi|50119165|ref|YP_048332.1|	1_3973	498	495	99	99	492	91.46	  940
gi|50119166|ref|YP_048333.1|	1_3972	233	233	100	100	233	80.69	  399
gi|50119167|ref|YP_048334.1|	1_3968	387	387	99	99	386	83.16	  667
gi|50119168|ref|YP_048335.1|	1_3967	729	729	100	100	729	72.15	 1073
gi|50119169|ref|YP_048336.1|	1_3966	443	447	100	99	443	79.46	  760
gi|50119170|ref|YP_048337.1|	1_3965	203	204	99	99	202	66.83	  291
gi|50119171|ref|YP_048338.1|	1_3964	483	483	100	100	483	89.86	  840
gi|50119172|ref|YP_048339.1|	1_3963	179	179	99	99	177	81.92	  317
gi|50119173|ref|YP_048340.1|	1_206	345	345	100	100	345	64.06	  468
gi|50119174|ref|YP_048341.1|	1_207	319	319	99	99	318	76.73	  511
gi|50119175|ref|YP_048342.1|	1_208	316	316	100	100	316	89.87	  592
gi|50119177|ref|YP_048344.1|	1_212	127	127	100	100	127	92.91	  232
gi|50119178|ref|YP_048345.1|	1_213	181	181	100	100	181	97.79	  360
gi|50119179|ref|YP_048346.1|	1_214	142	142	100	100	142	92.96	  267
gi|50119180|ref|YP_048347.1|	1_215	234	234	100	100	234	94.44	  421
gi|50119181|ref|YP_048348.1|	1_216	165	165	100	100	165	96.97	  320
gi|50119183|ref|YP_048350.1|	1_218	1342	1342	100	100	1342	95.08	 2631
gi|50119184|ref|YP_048351.1|	1_219	1407	1407	100	100	1407	94.17	 2679
gi|50119185|ref|YP_048352.1|	1_87	465	449	90	96	423	42.82	  337
gi|50119186|ref|YP_048353.1|	1_221	63	68	59	53	37	51.35	35.8
gi|50119187|ref|YP_048354.1|	1_222	478	507	99	93	473	61.31	  610
gi|50119188|ref|YP_048355.1|	1_228	373	382	99	97	372	84.95	  662
gi|50119189|ref|YP_048356.1|	1_229	261	259	99	100	260	83.08	  438
gi|50119190|ref|YP_048357.1|	1_230	66	66	100	100	66	68.18	95.5
gi|50119191|ref|YP_048358.1|	1_231	259	249	95	98	245	75.51	  358
gi|50119192|ref|YP_048359.1|	1_232	213	211	97	98	207	82.13	  336
gi|50119193|ref|YP_048360.1|	1_233	664	657	98	99	656	87.80	 1222
gi|50119194|ref|YP_048361.1|	1_234	153	149	100	100	153	56.21	  151
gi|50119195|ref|YP_048362.1|	1_235	260	257	97	98	253	80.24	  435
gi|50119196|ref|YP_048363.1|	1_236	354	357	99	99	353	91.78	  679
gi|50119197|ref|YP_048364.1|	1_238	196	196	100	100	196	86.73	  366
gi|50119198|ref|YP_048365.1|	1_239	90	90	100	100	90	98.89	  178
gi|50119199|ref|YP_048366.1|	1_240	228	236	99	98	231	56.71	  265
gi|50119200|ref|YP_048367.1|	1_241	428	429	99	99	427	84.54	  753
gi|50119201|ref|YP_048368.1|	1_242	529	529	100	100	529	92.06	 1015
gi|50119202|ref|YP_048369.1|	1_243	253	253	100	100	253	92.89	  499
gi|50119203|ref|YP_048370.1|	1_244	364	364	100	100	364	82.97	  597
gi|50119204|ref|YP_048371.1|	1_245	392	392	100	100	392	80.87	  614
gi|50119205|ref|YP_048372.1|	1_246	341	343	100	99	341	90.62	  660
gi|50119206|ref|YP_048373.1|	1_248	221	221	100	100	221	86.88	  384
gi|50119207|ref|YP_048374.1|	1_249	255	256	100	100	256	84.38	  441
gi|50119209|ref|YP_048376.1|	1_1033	136	151	84	69	114	35.09	63.9
gi|50119210|ref|YP_048377.1|	1_1032	352	396	99	88	352	69.60	  506
gi|50119211|ref|YP_048378.1|	1_250	392	380	97	100	381	70.34	  567
gi|50119215|ref|YP_048382.1|	1_256	98	98	100	100	98	98.98	  197
gi|50119216|ref|YP_048383.1|	1_257	321	321	100	100	321	93.77	  629
gi|50119217|ref|YP_048384.1|	1_2965	244	132	17	30	42	40.48	27.3
gi|50119218|ref|YP_048385.1|	1_258	295	295	99	99	292	89.04	  540
gi|50119219|ref|YP_048386.1|	1_259	483	483	100	100	483	84.68	  754
gi|50119220|ref|YP_048387.1|	1_261	447	447	100	100	447	93.96	  845
gi|50119221|ref|YP_048388.1|	1_262	155	153	100	100	155	82.58	  226
gi|50119222|ref|YP_048389.1|	1_263	150	150	100	100	150	88.00	  242
gi|50119223|ref|YP_048390.1|	1_264	199	208	100	96	199	76.88	  266
gi|50119224|ref|YP_048391.1|	1_265	333	333	100	100	333	81.98	  577
gi|50119225|ref|YP_048392.1|	1_266	325	328	99	99	324	77.47	  521
gi|50119226|ref|YP_048393.1|	1_267	645	648	99	99	645	70.70	  936
gi|50119227|ref|YP_048394.1|	1_268	347	347	100	100	347	96.83	  674
gi|50119228|ref|YP_048395.1|	1_269	327	338	86	83	280	85.36	  443
gi|50119229|ref|YP_048396.1|	1_270	162	162	100	100	162	88.89	  274
gi|50119230|ref|YP_048397.1|	1_271	197	197	99	99	196	69.90	  274
gi|50119231|ref|YP_048398.1|	1_272	489	489	100	100	489	92.84	  929
gi|50119232|ref|YP_048399.1|	1_273	1276	1284	99	99	1274	65.31	 1765
gi|50119233|ref|YP_048400.1|	1_274	481	481	100	100	481	87.94	  847
gi|50119236|ref|YP_048403.1|	1_275	311	314	99	99	310	86.77	  572
gi|50119237|ref|YP_048404.1|	1_276	67	67	100	100	67	82.09	  108
gi|50119238|ref|YP_048405.1|	1_277	321	315	96	97	307	76.55	  470
gi|50119239|ref|YP_048406.1|	1_278	662	650	98	99	650	71.85	  908
gi|50119241|ref|YP_048408.1|	1_281	183	182	99	99	181	83.98	  293
gi|50119242|ref|YP_048409.1|	1_282	446	446	99	99	445	87.64	  790
gi|50119243|ref|YP_048410.1|	1_283	136	136	100	100	136	79.41	  224
gi|50119244|ref|YP_048411.1|	1_284	90	90	100	100	90	87.78	  159
gi|50119245|ref|YP_048412.1|	1_285	285	284	99	99	283	95.05	  559
gi|50119246|ref|YP_048413.1|	1_286	157	156	96	97	151	88.74	  281
gi|50119247|ref|YP_048414.1|	1_287	95	95	100	100	95	85.26	  167
gi|50119248|ref|YP_048415.1|	1_288	477	477	100	100	477	89.73	  880
gi|50119249|ref|YP_048416.1|	1_289	241	241	100	100	241	94.19	  460
gi|50119250|ref|YP_048417.1|	1_290	190	192	91	91	175	73.71	  269
gi|50119251|ref|YP_048418.1|	1_291	188	189	99	98	189	69.31	  247
gi|50119252|ref|YP_048419.1|	1_292	188	188	100	100	188	81.38	  318
gi|50119253|ref|YP_048420.1|	1_293	357	328	91	99	324	86.11	  569
gi|50119254|ref|YP_048421.1|	1_294	322	320	99	100	321	78.50	  464
gi|50119255|ref|YP_048422.1|	1_295	270	269	99	99	269	85.87	  451
gi|50119256|ref|YP_048423.1|	1_296	260	260	100	100	260	89.23	  464
gi|50119257|ref|YP_048424.1|	1_297	188	209	100	90	192	78.65	  305
gi|50119258|ref|YP_048425.1|	1_298	209	210	99	99	208	80.29	  355
gi|50119259|ref|YP_048426.1|	1_299	96	100	99	96	96	61.46	  117
gi|50119260|ref|YP_048427.1|	1_300	84	84	100	100	84	86.90	  158
gi|50119261|ref|YP_048428.1|	1_301	420	420	100	100	420	92.38	  791
gi|50119262|ref|YP_048429.1|	1_302	365	374	99	94	364	65.38	  463
gi|50119263|ref|YP_048430.1|	1_303	456	456	100	100	456	88.16	  791
gi|50119264|ref|YP_048431.1|	1_304	134	134	100	100	134	84.33	  239
gi|50119265|ref|YP_048432.1|	1_305	383	376	98	98	370	80.00	  622
gi|50119266|ref|YP_048433.1|	1_307	142	142	100	100	142	95.07	  282
gi|50119267|ref|YP_048434.1|	1_308	130	130	100	100	130	97.69	  256
gi|50119268|ref|YP_048435.1|	1_309	213	213	100	100	213	92.49	  407
gi|50119269|ref|YP_048436.1|	1_310	167	165	83	100	140	76.61	  220
gi|50119270|ref|YP_048437.1|	1_3184	257	257	100	100	257	81.32	  416
gi|50119271|ref|YP_048438.1|	1_312	472	472	100	100	472	90.47	  900
gi|161501884|ref|YP_048439.2|	1_313	1486	1486	100	100	1486	91.32	 2845
gi|50119273|ref|YP_048440.1|	1_314	309	314	99	98	307	82.74	  542
gi|50119274|ref|YP_048441.1|	1_315	789	779	99	100	789	85.30	 1341
gi|50119276|ref|YP_048443.1|	1_316	217	217	100	100	217	75.12	  343
gi|50119277|ref|YP_048444.1|	1_317	245	249	98	96	240	71.67	  367
gi|50119278|ref|YP_048445.1|	1_318	430	433	97	97	421	61.05	  541
gi|50119279|ref|YP_048446.1|	1_319	190	191	99	99	190	82.11	  302
gi|50119280|ref|YP_048447.1|	1_320	196	196	100	100	196	95.41	  386
gi|50119281|ref|YP_048448.1|	1_321	80	95	96	81	77	70.13	  121
gi|50119282|ref|YP_048449.1|	1_322	672	681	99	99	684	62.28	  825
gi|50119283|ref|YP_048450.1|	1_323	295	289	97	99	285	87.72	  496
gi|50119286|ref|YP_048453.1|	1_325	261	262	99	99	261	79.31	  436
gi|50119287|ref|YP_048454.1|	1_326	386	386	100	100	386	79.02	  644
gi|50119288|ref|YP_048455.1|	1_327	224	257	98	82	216	60.43	  247
gi|161501883|ref|YP_048456.2|	1_328	464	470	97	99	452	77.59	  701
gi|50119290|ref|YP_048457.1|	1_329	210	217	98	95	206	86.89	  366
gi|50119291|ref|YP_048458.1|	1_330	144	140	97	99	139	79.86	  238
gi|50119292|ref|YP_048459.1|	1_331	275	275	100	100	275	80.73	  443
gi|50119293|ref|YP_048460.1|	1_332	193	193	100	100	193	81.35	  338
gi|50119294|ref|YP_048461.1|	1_333	631	631	100	100	631	92.23	 1215
gi|50119295|ref|YP_048462.1|	1_334	298	298	100	100	298	69.80	  434
gi|50119296|ref|YP_048463.1|	1_335	193	193	100	100	193	81.87	  341
gi|50119304|ref|YP_048471.1|	1_336	756	758	100	100	758	84.83	 1327
gi|50119305|ref|YP_048472.1|	1_337	245	245	100	100	245	77.14	  392
gi|50119306|ref|YP_048473.1|	1_338	471	469	99	99	468	77.99	  776
gi|50119308|ref|YP_048475.1|	1_339	275	281	99	97	273	78.39	  464
gi|50119309|ref|YP_048476.1|	1_340	387	387	100	100	387	81.65	  635
gi|50119310|ref|YP_048477.1|	1_341	246	246	100	100	246	73.17	  396
gi|50119311|ref|YP_048478.1|	1_342	321	323	96	95	308	64.61	  410
gi|50119312|ref|YP_048479.1|	1_343	219	219	100	100	219	82.65	  365
gi|50119313|ref|YP_048480.1|	1_344	396	397	99	99	394	82.49	  701
gi|50119317|ref|YP_048484.1|	1_345	304	311	97	88	296	70.27	  398
gi|50119318|ref|YP_048485.1|	1_346	141	139	98	99	138	76.81	  226
gi|50119319|ref|YP_048486.1|	1_348	339	346	100	98	339	84.96	  615
gi|50119320|ref|YP_048487.1|	1_349	469	470	100	100	470	77.23	  782
gi|50119321|ref|YP_048488.1|	1_350	456	456	99	99	455	91.43	  796
gi|50119322|ref|YP_048489.1|	1_351	511	538	100	99	539	74.95	  786
gi|50119323|ref|YP_048490.1|	1_352	311	307	97	99	303	71.29	  444
gi|50119328|ref|YP_048495.1|	1_3833	450	456	55	62	291	26.80	44.7
gi|50119331|ref|YP_048498.1|	1_367	164	150	90	98	147	65.99	  217
gi|50119332|ref|YP_048499.1|	1_3443	217	209	80	98	179	37.20	  117
gi|50119333|ref|YP_048500.1|	1_368	154	154	100	100	154	75.97	  255
gi|50119334|ref|YP_048501.1|	1_369	712	712	100	100	712	91.85	 1380
gi|50119335|ref|YP_048502.1|	1_375	245	249	98	97	241	85.06	  428
gi|50119336|ref|YP_048503.1|	1_376	273	273	97	97	265	78.49	  409
gi|50119337|ref|YP_048504.1|	1_377	309	309	100	100	309	88.03	  561
gi|50119338|ref|YP_048505.1|	1_378	476	479	100	99	476	91.81	  921
gi|50119339|ref|YP_048506.1|	1_381	128	128	99	99	127	86.61	  225
gi|50119340|ref|YP_048507.1|	1_382	154	154	98	98	151	90.73	  283
gi|50119341|ref|YP_048508.1|	1_383	311	311	100	100	311	90.68	  589
gi|50119342|ref|YP_048509.1|	1_384	155	155	100	100	155	88.39	  285
gi|50119343|ref|YP_048510.1|	1_387	335	338	99	99	334	87.13	  628
gi|50119344|ref|YP_048511.1|	1_388	141	142	82	81	115	89.57	  171
gi|50119345|ref|YP_048512.1|	1_389	167	167	100	100	167	73.65	  259
gi|50119348|ref|YP_048515.1|	1_392	359	355	97	98	349	77.36	  566
gi|50119349|ref|YP_048516.1|	1_393	539	539	97	97	522	78.16	  752
gi|50119353|ref|YP_048520.1|	1_2198	566	342	41	65	231	45.45	  150
gi|50119360|ref|YP_048527.1|	1_394	951	951	100	100	951	91.38	 1821
gi|50119361|ref|YP_048528.1|	1_395	149	155	100	100	155	82.58	  265
gi|50119362|ref|YP_048529.1|	1_396	503	502	100	100	503	94.43	  969
gi|50119363|ref|YP_048530.1|	1_397	371	372	100	100	372	74.46	  509
gi|50119364|ref|YP_048531.1|	1_398	358	356	100	100	358	81.56	  568
gi|50119369|ref|YP_048536.1|	1_1755	1162	292	10	41	119	29.41	51.6
gi|50119371|ref|YP_048538.1|	1_2901	373	373	100	100	373	88.47	  681
gi|50119373|ref|YP_048540.1|	1_1672	396	381	15	41	60	25.61	32.7
gi|50119374|ref|YP_048541.1|	1_1671	372	368	76	87	294	21.18	35.4
gi|50119375|ref|YP_048542.1|	1_1674	332	334	96	95	319	22.57	75.9
gi|50119376|ref|YP_048543.1|	1_1734	473	481	68	68	344	21.22	42.7
gi|50119383|ref|YP_048550.1|	1_2895	263	277	70	62	190	28.95	65.5
gi|50119384|ref|YP_048551.1|	1_1996	365	233	9	15	34	35.29	28.9
gi|50119385|ref|YP_048552.1|	1_2944	649	646	98	99	637	51.65	  590
gi|50119386|ref|YP_048553.1|	1_1018	903	903	99	97	901	52.16	  934
gi|50119387|ref|YP_048554.1|	1_433	525	529	99	99	527	70.59	  710
gi|50119388|ref|YP_048555.1|	1_434	104	104	100	100	104	74.04	  172
gi|50119389|ref|YP_048556.1|	1_435	274	275	100	99	274	87.59	  512
gi|50119390|ref|YP_048557.1|	1_436	420	418	99	100	418	84.93	  746
gi|50119391|ref|YP_048558.1|	1_437	496	490	97	99	483	68.94	  650
gi|50119392|ref|YP_048559.1|	1_438	279	278	99	100	278	80.58	  431
gi|50119393|ref|YP_048560.1|	1_439	284	284	97	97	275	79.27	  442
gi|50119396|ref|YP_048563.1|	1_441	569	566	97	96	550	77.80	  862
gi|50119397|ref|YP_048564.1|	1_442	288	293	99	98	286	81.82	  407
gi|50119398|ref|YP_048565.1|	1_443	319	321	100	99	320	81.25	  470
gi|50119399|ref|YP_048566.1|	1_444	537	542	99	98	530	77.17	  851
gi|50119400|ref|YP_048567.1|	1_445	204	180	80	94	165	36.13	  102
gi|50119402|ref|YP_048569.1|	1_813	160	180	98	87	156	83.97	  247
gi|50119408|ref|YP_048575.1|	1_447	403	403	99	99	399	80.70	  634
gi|50119409|ref|YP_048576.1|	1_448	392	392	100	100	392	71.17	  569
gi|50119410|ref|YP_048577.1|	1_449	441	442	99	99	436	82.11	  766
gi|50119411|ref|YP_048578.1|	1_450	195	194	100	100	195	82.56	  318
gi|50119412|ref|YP_048579.1|	1_451	109	109	100	100	109	94.50	  210
gi|50119413|ref|YP_048580.1|	1_452	208	204	75	97	157	75.00	  249
gi|50119414|ref|YP_048581.1|	1_453	417	418	98	98	410	88.29	  776
gi|50119415|ref|YP_048582.1|	1_454	460	461	100	100	461	93.49	  862
gi|50119416|ref|YP_048583.1|	1_455	325	325	99	99	324	83.02	  557
