#A_id	B_id	A_length	B_length	A_qcovhsp	B_qcovhsp	length	pident	bitscore
gi|50119002|ref|YP_048169.1|	1_4006	91	91	100	100	91	92.31	  132
gi|50119003|ref|YP_048170.1|	1_4005	207	207	100	100	207	89.37	  360
gi|50119004|ref|YP_048171.1|	1_2520	75	60	33	42	25	52.00	27.3
gi|50119005|ref|YP_048172.1|	1_4004	563	575	96	93	536	55.70	  626
gi|50119008|ref|YP_048175.1|	1_1640	535	500	89	94	487	27.52	  217
gi|50119009|ref|YP_048176.1|	1_3987	399	354	88	99	352	80.68	  588
gi|50119010|ref|YP_048177.1|	1_3986	501	504	100	100	505	81.19	  847
gi|50119011|ref|YP_048178.1|	1_3985	111	112	100	99	111	88.29	  211
gi|50119012|ref|YP_048179.1|	1_3984	145	144	99	99	143	92.31	  273
gi|50119013|ref|YP_048180.1|	1_1249	447	424	86	90	391	31.71	  169
gi|50119016|ref|YP_048183.1|	1_10	248	248	99	99	246	84.55	  374
gi|50119017|ref|YP_048184.1|	1_11	680	680	100	100	680	85.74	 1221
gi|50119022|ref|YP_048189.1|	1_12	97	94	98	100	95	56.84	  105
gi|50119023|ref|YP_048190.1|	1_13	280	280	100	100	280	80.00	  471
gi|50119024|ref|YP_048191.1|	1_14	450	450	100	100	450	89.11	  816
gi|50119027|ref|YP_048194.1|	1_629	301	299	96	97	291	50.86	  295
gi|50119032|ref|YP_048199.1|	1_26	378	371	98	99	372	68.55	  508
gi|50119033|ref|YP_048200.1|	1_27	344	345	99	99	343	78.43	  525
gi|50119034|ref|YP_048201.1|	1_28	565	546	96	99	542	79.15	  830
gi|50119035|ref|YP_048202.1|	1_29	286	284	99	99	282	77.66	  345
gi|50119036|ref|YP_048203.1|	1_30	314	311	97	98	306	81.05	  473
gi|50119037|ref|YP_048204.1|	1_31	545	547	99	96	525	83.79	  907
gi|50119038|ref|YP_048205.1|	1_3117	400	351	46	51	186	29.57	53.5
gi|161501886|ref|YP_048206.2|	1_54	320	321	99	99	319	76.49	  489
gi|50119042|ref|YP_048209.1|	1_56	147	149	97	95	142	52.82	  158
gi|50119043|ref|YP_048210.1|	1_57	187	212	99	88	186	81.72	  335
gi|50119044|ref|YP_048211.1|	1_58	247	268	96	88	236	87.71	  379
gi|50119045|ref|YP_048212.1|	1_59	304	304	100	100	304	96.05	  618
gi|50119046|ref|YP_048213.1|	1_60	689	689	100	100	689	87.95	 1231
gi|50119047|ref|YP_048214.1|	1_69	234	236	96	94	224	56.25	  262
gi|50119052|ref|YP_048219.1|	1_70	630	630	100	100	634	60.57	  711
gi|50119053|ref|YP_048220.1|	1_71	208	208	100	100	208	86.54	  379
gi|50119054|ref|YP_048221.1|	1_72	277	277	93	93	257	82.88	  439
gi|50119055|ref|YP_048222.1|	1_73	511	512	100	100	512	85.16	  932
gi|50119057|ref|YP_048224.1|	1_76	485	486	100	99	485	77.53	  733
gi|50119058|ref|YP_048225.1|	1_77	439	439	100	100	439	85.42	  810
gi|50119059|ref|YP_048226.1|	1_78	332	332	100	100	332	87.05	  598
gi|50119060|ref|YP_048227.1|	1_79	513	513	100	100	513	84.60	  897
gi|50119061|ref|YP_048228.1|	1_80	393	390	99	99	392	83.67	  592
gi|50119062|ref|YP_048229.1|	1_81	392	395	99	99	391	86.45	  711
gi|50119063|ref|YP_048230.1|	1_82	191	195	99	97	189	84.13	  335
gi|50119065|ref|YP_048232.1|	1_85	448	450	100	100	451	92.46	  867
gi|161501885|ref|YP_048236.2|	1_2418	113	114	100	99	113	72.57	  157
gi|50119071|ref|YP_048238.1|	1_3323	342	297	88	96	312	24.36	62.0
gi|50119091|ref|YP_048258.1|	1_129	287	287	100	100	287	86.76	  508
gi|50119092|ref|YP_048259.1|	1_131	302	302	100	100	302	77.48	  479
gi|50119093|ref|YP_048260.1|	1_139	315	319	99	99	318	79.25	  506
gi|50119094|ref|YP_048261.1|	1_140	273	273	100	100	273	81.32	  465
gi|50119095|ref|YP_048262.1|	1_141	360	352	96	99	347	82.71	  569
gi|50119096|ref|YP_048263.1|	1_142	299	298	99	99	298	89.26	  505
gi|50119097|ref|YP_048264.1|	1_143	306	306	100	100	306	88.24	  531
gi|50119098|ref|YP_048265.1|	1_144	513	513	100	100	513	83.82	  868
gi|50119099|ref|YP_048266.1|	1_145	619	624	99	98	611	83.63	 1061
gi|50119100|ref|YP_048267.1|	1_146	322	321	99	100	321	70.09	  444
gi|50119101|ref|YP_048268.1|	1_152	238	238	100	100	238	89.08	  424
gi|50119102|ref|YP_048269.1|	1_153	213	213	100	100	213	87.79	  393
gi|50119103|ref|YP_048270.1|	1_154	198	198	99	99	197	93.91	  357
gi|50119104|ref|YP_048271.1|	1_155	152	152	99	99	151	89.40	  279
gi|50119105|ref|YP_048272.1|	1_156	425	411	97	100	411	78.35	  647
gi|50119106|ref|YP_048273.1|	1_158	221	221	100	100	221	76.02	  353
gi|50119107|ref|YP_048274.1|	1_159	78	78	100	100	78	94.87	  156
gi|50119108|ref|YP_048275.1|	1_160	55	55	100	100	55	94.55	  106
gi|50119109|ref|YP_048276.1|	1_161	269	269	99	99	268	80.60	  449
gi|50119111|ref|YP_048278.1|	1_162	159	159	99	99	158	83.54	  275
gi|50119112|ref|YP_048279.1|	1_164	425	425	100	100	425	75.53	  677
gi|50119114|ref|YP_048281.1|	1_163	255	263	98	94	251	64.54	  344
gi|50119120|ref|YP_048287.1|	1_168	372	372	85	86	327	24.78	92.0
gi|50119121|ref|YP_048288.1|	1_169	356	361	96	97	355	32.39	  177
gi|50119124|ref|YP_048291.1|	1_170	327	322	98	100	322	77.95	  510
gi|50119125|ref|YP_048292.1|	1_171	355	350	97	98	343	81.92	  583
gi|50119126|ref|YP_048293.1|	1_172	310	310	100	100	310	89.68	  592
gi|50119127|ref|YP_048294.1|	1_173	398	398	99	99	397	79.85	  639
gi|50119128|ref|YP_048295.1|	1_174	361	341	94	100	341	83.58	  613
gi|50119129|ref|YP_048296.1|	1_175	315	319	94	91	289	69.28	  419
gi|50119130|ref|YP_048297.1|	1_176	433	424	96	98	414	78.26	  590
gi|50119131|ref|YP_048298.1|	1_177	143	143	100	100	143	81.12	  245
gi|50119132|ref|YP_048299.1|	1_178	158	158	100	100	158	85.44	  284
gi|50119133|ref|YP_048300.1|	1_179	339	338	99	100	338	86.09	  608
gi|50119134|ref|YP_048301.1|	1_180	273	273	100	100	273	91.94	  519
gi|50119135|ref|YP_048302.1|	1_181	217	166	74	97	161	75.78	  273
gi|50119139|ref|YP_048306.1|	1_182	299	299	100	100	299	75.92	  461
gi|50119140|ref|YP_048307.1|	1_183	311	312	99	99	309	90.61	  575
gi|50119141|ref|YP_048308.1|	1_184	754	755	99	99	753	90.31	 1392
gi|50119143|ref|YP_048310.1|	1_2516	553	552	100	100	555	65.30	  688
gi|50119144|ref|YP_048311.1|	1_185	275	275	100	100	275	73.45	  426
gi|50119145|ref|YP_048312.1|	1_186	256	252	98	99	251	86.85	  454
gi|50119146|ref|YP_048313.1|	1_187	260	260	99	99	259	69.11	  373
gi|50119147|ref|YP_048314.1|	1_189	879	880	100	100	880	86.25	 1559
gi|50119148|ref|YP_048315.1|	1_191	457	353	77	100	353	77.90	  574
gi|50119149|ref|YP_048316.1|	1_192	399	399	99	99	397	82.12	  713
gi|50119150|ref|YP_048317.1|	1_193	241	272	98	89	241	74.69	  377
gi|50119151|ref|YP_048318.1|	1_194	383	382	99	99	381	84.78	  672
gi|50119152|ref|YP_048319.1|	1_195	334	334	100	100	334	88.32	  618
gi|50119153|ref|YP_048320.1|	1_196	257	257	100	100	257	91.83	  468
gi|50119154|ref|YP_048321.1|	1_197	457	457	100	100	457	91.47	  848
gi|50119155|ref|YP_048322.1|	1_3820	509	501	98	98	497	75.25	  712
gi|50119156|ref|YP_048323.1|	1_3819	251	251	100	100	251	85.26	  455
gi|50119157|ref|YP_048324.1|	1_3818	207	202	100	100	207	62.32	  254
gi|50119158|ref|YP_048325.1|	1_3817	546	545	100	100	546	84.80	  939
gi|50119159|ref|YP_048326.1|	1_3816	86	85	100	100	86	66.28	  113
gi|50119160|ref|YP_048327.1|	1_3815	197	187	73	70	144	69.44	  152
gi|50119161|ref|YP_048328.1|	1_3814	251	253	99	98	249	84.74	  426
gi|50119162|ref|YP_048329.1|	1_3813	260	264	100	98	260	71.15	  397
gi|50119163|ref|YP_048330.1|	1_3812	340	340	100	100	340	88.53	  619
gi|50119164|ref|YP_048331.1|	1_3811	162	219	99	74	161	78.26	  273
gi|50119165|ref|YP_048332.1|	1_3810	498	498	100	100	498	90.36	  945
gi|50119166|ref|YP_048333.1|	1_3809	233	233	100	100	233	80.69	  400
gi|50119167|ref|YP_048334.1|	1_3804	387	387	99	99	386	80.31	  641
gi|50119168|ref|YP_048335.1|	1_3803	729	730	99	99	729	69.41	 1038
gi|50119169|ref|YP_048336.1|	1_3802	443	443	100	100	443	77.65	  742
gi|50119170|ref|YP_048337.1|	1_3801	203	204	99	99	202	64.36	  279
gi|50119171|ref|YP_048338.1|	1_3800	483	483	100	100	483	89.23	  817
gi|50119172|ref|YP_048339.1|	1_3799	179	179	97	97	174	79.31	  308
gi|50119173|ref|YP_048340.1|	1_3797	345	323	94	100	323	65.02	  453
gi|50119174|ref|YP_048341.1|	1_3796	319	319	100	100	319	75.24	  501
gi|50119175|ref|YP_048342.1|	1_3795	316	316	100	100	316	88.92	  583
gi|50119177|ref|YP_048344.1|	1_3792	127	127	100	100	127	88.98	  226
gi|50119178|ref|YP_048345.1|	1_3791	181	181	100	100	181	97.79	  360
gi|50119179|ref|YP_048346.1|	1_3790	142	142	100	100	142	92.96	  267
gi|50119180|ref|YP_048347.1|	1_3789	234	234	99	99	233	93.56	  415
gi|50119181|ref|YP_048348.1|	1_3788	165	165	100	100	165	96.97	  320
gi|50119182|ref|YP_048349.1|	1_3787	121	122	100	100	122	87.70	  168
gi|50119183|ref|YP_048350.1|	1_3786	1342	1342	100	100	1342	95.08	 2625
gi|50119184|ref|YP_048351.1|	1_3785	1407	1407	100	100	1407	93.60	 2656
gi|50119185|ref|YP_048352.1|	1_3975	465	446	90	96	420	42.96	  334
gi|50119186|ref|YP_048353.1|	1_3782	63	71	67	70	50	42.00	31.6
gi|50119187|ref|YP_048354.1|	1_3781	478	479	99	99	472	64.83	  655
gi|50119188|ref|YP_048355.1|	1_3775	373	399	88	82	328	82.93	  571
gi|50119189|ref|YP_048356.1|	1_3774	261	258	98	99	255	81.57	  426
gi|50119190|ref|YP_048357.1|	1_3773	66	66	100	100	66	69.70	98.2
gi|50119191|ref|YP_048358.1|	1_3772	259	249	96	99	248	74.19	  357
gi|50119192|ref|YP_048359.1|	1_3771	213	211	97	98	207	80.68	  333
gi|50119193|ref|YP_048360.1|	1_3770	664	650	98	100	650	88.15	 1192
gi|50119195|ref|YP_048362.1|	1_3769	260	257	97	98	253	76.28	  410
gi|50119196|ref|YP_048363.1|	1_3768	354	360	99	98	353	90.65	  676
gi|50119197|ref|YP_048364.1|	1_3765	196	163	82	99	161	86.34	  285
gi|50119198|ref|YP_048365.1|	1_3764	90	90	100	100	90	97.78	  177
gi|50119199|ref|YP_048366.1|	1_3763	228	210	89	98	205	54.15	  232
gi|50119200|ref|YP_048367.1|	1_3762	428	428	100	100	428	84.81	  758
gi|50119201|ref|YP_048368.1|	1_3761	529	529	100	100	529	90.93	 1003
gi|50119202|ref|YP_048369.1|	1_3758	253	253	100	100	253	92.89	  500
gi|50119203|ref|YP_048370.1|	1_3757	364	362	99	100	362	82.04	  569
gi|50119204|ref|YP_048371.1|	1_3756	392	392	100	100	392	81.38	  625
gi|50119205|ref|YP_048372.1|	1_3755	341	342	100	99	341	90.91	  660
gi|50119206|ref|YP_048373.1|	1_3753	221	162	73	100	162	89.51	  294
gi|50119207|ref|YP_048374.1|	1_3752	255	256	100	100	256	82.03	  436
gi|50119212|ref|YP_048379.1|	1_1639	134	154	75	70	108	37.96	69.7
gi|50119215|ref|YP_048382.1|	1_3742	98	98	100	100	98	98.98	  197
gi|50119216|ref|YP_048383.1|	1_3741	321	321	100	100	321	92.21	  614
gi|50119218|ref|YP_048385.1|	1_3740	295	295	99	99	292	90.41	  544
gi|50119219|ref|YP_048386.1|	1_3739	483	483	99	99	482	82.78	  739
gi|50119220|ref|YP_048387.1|	1_3737	447	447	100	100	447	91.95	  831
gi|50119221|ref|YP_048388.1|	1_3736	155	150	100	100	155	84.52	  230
gi|50119222|ref|YP_048389.1|	1_3735	150	150	100	100	150	83.33	  231
gi|50119223|ref|YP_048390.1|	1_3734	199	199	99	99	197	77.66	  253
gi|50119224|ref|YP_048391.1|	1_3733	333	331	100	100	333	84.08	  587
gi|50119225|ref|YP_048392.1|	1_3731	325	326	100	99	325	76.92	  514
gi|50119226|ref|YP_048393.1|	1_3730	645	640	98	99	637	67.97	  905
gi|50119227|ref|YP_048394.1|	1_3729	347	347	100	100	347	96.54	  674
gi|50119228|ref|YP_048395.1|	1_3728	327	414	98	82	322	78.59	  485
gi|50119229|ref|YP_048396.1|	1_3727	162	162	100	100	162	85.80	  282
gi|50119230|ref|YP_048397.1|	1_3726	197	197	99	99	196	69.90	  273
gi|50119231|ref|YP_048398.1|	1_3725	489	489	100	100	489	93.66	  934
gi|50119232|ref|YP_048399.1|	1_3723	1276	951	74	99	948	65.19	 1300
gi|50119233|ref|YP_048400.1|	1_3722	481	481	100	100	481	87.32	  839
gi|50119236|ref|YP_048403.1|	1_3721	311	314	99	98	309	82.85	  551
gi|50119237|ref|YP_048404.1|	1_3720	67	67	100	100	67	76.12	  104
gi|50119238|ref|YP_048405.1|	1_3719	321	315	96	97	307	72.64	  427
gi|50119239|ref|YP_048406.1|	1_3718	662	651	98	99	646	64.09	  814
gi|50119241|ref|YP_048408.1|	1_3715	183	183	99	99	181	80.11	  286
gi|50119242|ref|YP_048409.1|	1_3714	446	446	99	99	445	87.19	  811
gi|50119243|ref|YP_048410.1|	1_3713	136	136	100	100	136	78.68	  215
gi|50119244|ref|YP_048411.1|	1_3712	90	90	100	100	90	91.11	  166
gi|50119245|ref|YP_048412.1|	1_3711	285	284	99	99	283	95.05	  558
gi|50119246|ref|YP_048413.1|	1_3710	157	169	100	93	157	82.17	  275
gi|50119247|ref|YP_048414.1|	1_3709	95	95	100	100	95	85.26	  172
gi|50119248|ref|YP_048415.1|	1_3708	477	478	100	100	478	89.12	  874
gi|50119249|ref|YP_048416.1|	1_3707	241	241	100	100	241	93.78	  457
gi|50119250|ref|YP_048417.1|	1_3706	190	202	94	89	180	73.33	  277
gi|50119251|ref|YP_048418.1|	1_3705	188	189	99	98	189	67.72	  238
gi|50119252|ref|YP_048419.1|	1_3704	188	188	100	100	188	83.51	  327
gi|50119253|ref|YP_048420.1|	1_3703	357	328	91	99	324	82.72	  553
gi|50119254|ref|YP_048421.1|	1_3702	322	320	99	99	320	78.12	  452
gi|50119255|ref|YP_048422.1|	1_3701	270	268	99	99	269	86.62	  453
gi|50119256|ref|YP_048423.1|	1_3700	260	260	100	100	260	91.54	  473
gi|50119257|ref|YP_048424.1|	1_3699	188	190	100	100	190	76.32	  298
gi|50119258|ref|YP_048425.1|	1_3698	209	211	100	99	209	79.90	  355
gi|50119259|ref|YP_048426.1|	1_3697	96	100	99	96	96	60.42	  100
gi|50119260|ref|YP_048427.1|	1_3696	84	84	100	100	84	85.71	  153
gi|50119261|ref|YP_048428.1|	1_3695	420	420	99	99	419	92.36	  787
gi|50119262|ref|YP_048429.1|	1_3694	365	354	99	99	364	63.19	  447
gi|50119263|ref|YP_048430.1|	1_3693	456	456	100	100	456	87.72	  766
gi|50119264|ref|YP_048431.1|	1_3692	134	134	100	100	134	84.33	  240
gi|50119265|ref|YP_048432.1|	1_3690	383	376	98	98	369	78.34	  611
gi|50119266|ref|YP_048433.1|	1_3689	142	142	100	100	142	95.77	  283
gi|50119267|ref|YP_048434.1|	1_3688	130	130	100	100	130	95.38	  252
gi|50119268|ref|YP_048435.1|	1_3687	213	213	100	100	213	92.49	  405
gi|50119269|ref|YP_048436.1|	1_3686	167	165	100	100	168	75.60	  221
gi|50119270|ref|YP_048437.1|	1_1001	257	257	100	100	257	80.93	  410
gi|50119271|ref|YP_048438.1|	1_3684	472	472	100	100	472	90.04	  907
gi|161501884|ref|YP_048439.2|	1_3683	1486	1486	100	100	1486	90.78	 2826
gi|50119273|ref|YP_048440.1|	1_3682	309	317	98	96	304	83.22	  542
gi|50119274|ref|YP_048441.1|	1_3681	789	779	99	100	788	82.23	 1310
gi|50119276|ref|YP_048443.1|	1_3680	217	217	100	100	217	75.12	  341
gi|50119277|ref|YP_048444.1|	1_3679	245	244	96	96	234	70.94	  352
gi|50119278|ref|YP_048445.1|	1_3678	430	433	99	98	428	60.28	  513
gi|50119279|ref|YP_048446.1|	1_3677	190	190	99	99	189	80.95	  299
gi|50119280|ref|YP_048447.1|	1_3676	196	196	100	100	196	92.86	  378
gi|50119281|ref|YP_048448.1|	1_3675	80	113	99	70	79	69.62	  121
gi|50119282|ref|YP_048449.1|	1_3674	672	680	99	99	682	60.12	  788
gi|50119283|ref|YP_048450.1|	1_3673	295	292	99	100	292	83.90	  486
gi|50119286|ref|YP_048453.1|	1_3672	261	262	99	99	261	80.84	  440
gi|50119287|ref|YP_048454.1|	1_3671	386	386	99	99	385	78.18	  637
gi|50119288|ref|YP_048455.1|	1_3670	224	241	83	83	186	60.85	  230
gi|161501883|ref|YP_048456.2|	1_3669	464	469	100	99	464	78.02	  714
gi|50119290|ref|YP_048457.1|	1_3668	210	211	99	99	209	87.08	  367
gi|50119291|ref|YP_048458.1|	1_3667	144	140	97	100	140	83.57	  253
gi|50119292|ref|YP_048459.1|	1_3666	275	275	100	100	275	80.73	  445
gi|50119293|ref|YP_048460.1|	1_3665	193	193	100	100	193	84.46	  351
gi|50119294|ref|YP_048461.1|	1_3664	631	631	100	100	631	92.08	 1209
gi|50119295|ref|YP_048462.1|	1_3663	298	298	100	100	298	69.46	  426
gi|50119296|ref|YP_048463.1|	1_3662	193	193	100	100	193	81.87	  335
gi|50119302|ref|YP_048469.1|	1_3205	516	641	77	59	411	22.63	  106
gi|50119304|ref|YP_048471.1|	1_3661	756	757	100	100	757	83.75	 1316
gi|50119305|ref|YP_048472.1|	1_3660	245	245	99	99	243	77.78	  397
gi|50119306|ref|YP_048473.1|	1_3659	471	470	99	99	468	75.00	  741
gi|50119307|ref|YP_048474.1|	1_3655	245	278	99	88	245	50.20	  235
gi|50119308|ref|YP_048475.1|	1_3654	275	281	99	97	272	66.91	  394
gi|50119309|ref|YP_048476.1|	1_3653	387	387	99	99	386	79.53	  617
gi|50119310|ref|YP_048477.1|	1_3652	246	246	100	100	246	78.05	  409
gi|50119311|ref|YP_048478.1|	1_3651	321	304	94	99	302	64.90	  400
gi|50119312|ref|YP_048479.1|	1_3650	219	220	100	99	219	81.74	  357
gi|50119313|ref|YP_048480.1|	1_3649	396	397	99	99	394	81.98	  682
gi|50119317|ref|YP_048484.1|	1_3648	304	304	99	90	303	67.99	  387
gi|50119318|ref|YP_048485.1|	1_3647	141	139	98	99	138	77.54	  227
gi|50119319|ref|YP_048486.1|	1_3646	339	339	100	100	339	82.30	  598
gi|50119320|ref|YP_048487.1|	1_3645	469	470	100	100	470	73.83	  743
gi|50119321|ref|YP_048488.1|	1_3644	456	456	99	99	455	89.23	  781
gi|50119322|ref|YP_048489.1|	1_3643	511	539	100	99	539	72.73	  769
gi|50119323|ref|YP_048490.1|	1_3642	311	311	97	97	303	68.32	  419
gi|50119324|ref|YP_048491.1|	1_1475	226	335	40	26	92	28.26	31.6
gi|50119328|ref|YP_048495.1|	1_351	450	448	31	33	154	27.27	43.9
gi|50119331|ref|YP_048498.1|	1_3632	164	206	80	64	132	65.15	  197
gi|50119332|ref|YP_048499.1|	1_1270	217	226	86	85	194	38.14	  110
gi|50119333|ref|YP_048500.1|	1_3631	154	154	100	100	154	76.62	  256
gi|50119334|ref|YP_048501.1|	1_3630	712	712	100	100	712	91.85	 1358
gi|50119335|ref|YP_048502.1|	1_3627	245	246	100	99	245	83.27	  429
gi|50119336|ref|YP_048503.1|	1_3626	273	273	97	97	265	79.25	  442
gi|50119337|ref|YP_048504.1|	1_3625	309	309	100	100	309	86.73	  555
gi|50119338|ref|YP_048505.1|	1_3624	476	479	100	99	476	89.92	  906
gi|50119339|ref|YP_048506.1|	1_3622	128	128	99	99	127	81.10	  217
gi|50119340|ref|YP_048507.1|	1_3621	154	154	98	98	151	91.39	  288
gi|50119341|ref|YP_048508.1|	1_3620	311	311	100	100	311	90.68	  589
gi|50119342|ref|YP_048509.1|	1_3619	155	155	100	100	155	83.87	  274
gi|50119343|ref|YP_048510.1|	1_3616	335	339	100	99	335	84.48	  605
gi|50119344|ref|YP_048511.1|	1_3615	141	142	85	81	115	86.67	  164
gi|50119345|ref|YP_048512.1|	1_3614	167	167	100	100	167	71.26	  231
gi|50119348|ref|YP_048515.1|	1_3611	359	388	99	90	353	75.00	  560
gi|50119349|ref|YP_048516.1|	1_3610	539	538	96	96	515	79.22	  759
gi|50119358|ref|YP_048525.1|	1_2032	97	270	88	30	85	32.94	35.0
gi|50119360|ref|YP_048527.1|	1_3609	951	951	100	100	951	92.01	 1826
gi|50119361|ref|YP_048528.1|	1_3608	149	156	100	96	149	84.56	  269
gi|50119362|ref|YP_048529.1|	1_3607	503	502	100	100	503	93.24	  957
gi|50119363|ref|YP_048530.1|	1_3606	371	366	98	99	363	77.41	  519
gi|50119364|ref|YP_048531.1|	1_3605	358	356	100	100	358	81.84	  564
gi|50119371|ref|YP_048538.1|	1_1427	373	374	100	99	373	84.72	  666
gi|50119374|ref|YP_048541.1|	1_2464	372	366	91	89	359	21.33	42.4
gi|50119375|ref|YP_048542.1|	1_2461	332	334	89	85	288	24.31	65.9
gi|50119383|ref|YP_048550.1|	1_3571	263	256	99	99	262	67.94	  341
gi|50119385|ref|YP_048552.1|	1_2709	649	646	98	98	636	49.84	  577
gi|50119386|ref|YP_048553.1|	1_2959	903	903	95	93	862	53.48	  940
gi|50119387|ref|YP_048554.1|	1_3538	525	530	99	99	527	68.69	  694
gi|50119388|ref|YP_048555.1|	1_3537	104	104	100	100	104	75.96	  179
gi|50119389|ref|YP_048556.1|	1_3536	274	274	99	99	273	86.08	  502
gi|50119390|ref|YP_048557.1|	1_3535	420	418	99	100	418	84.69	  746
gi|50119391|ref|YP_048558.1|	1_3534	496	490	97	99	483	68.12	  682
gi|50119392|ref|YP_048559.1|	1_3533	279	281	98	98	274	80.29	  429
gi|50119393|ref|YP_048560.1|	1_3532	284	296	97	93	275	79.27	  442
gi|50119396|ref|YP_048563.1|	1_3531	569	563	96	97	548	77.01	  829
gi|50119397|ref|YP_048564.1|	1_3530	288	287	99	99	286	81.12	  444
gi|50119398|ref|YP_048565.1|	1_3529	319	321	100	99	320	81.88	  465
gi|50119399|ref|YP_048566.1|	1_3528	537	541	99	98	530	76.23	  844
gi|50119400|ref|YP_048567.1|	1_3527	204	180	87	99	180	34.33	  101
gi|50119402|ref|YP_048569.1|	1_3215	160	180	98	87	157	81.53	  245
gi|50119408|ref|YP_048575.1|	1_3526	403	402	99	99	401	77.31	  617
gi|50119409|ref|YP_048576.1|	1_3525	392	392	100	100	392	69.90	  560
gi|50119410|ref|YP_048577.1|	1_3524	441	441	99	99	439	81.78	  772
gi|50119411|ref|YP_048578.1|	1_3523	195	196	100	99	195	77.95	  305
gi|50119412|ref|YP_048579.1|	1_3522	109	109	100	100	109	94.50	  211
gi|50119413|ref|YP_048580.1|	1_3521	208	203	94	95	195	75.90	  299
gi|50119414|ref|YP_048581.1|	1_3520	417	419	98	98	409	86.80	  769
gi|50119415|ref|YP_048582.1|	1_3519	460	461	100	100	461	90.67	  836
gi|50119416|ref|YP_048583.1|	1_3518	325	325	99	99	324	82.10	  548
gi|50119417|ref|YP_048584.1|	1_3517	231	223	93	96	214	77.10	  330
gi|50119419|ref|YP_048586.1|	1_3515	529	529	100	100	529	91.87	 1024
gi|50119420|ref|YP_048587.1|	1_3514	202	202	100	99	202	52.97	  205
gi|50119421|ref|YP_048588.1|	1_3513	53	53	98	100	53	66.04	37.0
gi|50119422|ref|YP_048589.1|	1_3512	62	62	100	100	62	67.74	86.7
gi|50119423|ref|YP_048590.1|	1_3511	265	278	95	91	253	68.38	  323
gi|50119425|ref|YP_048592.1|	1_3509	238	239	100	100	239	57.32	  281
gi|50119428|ref|YP_048595.1|	1_1509	398	395	93	93	371	49.06	  338
gi|50119429|ref|YP_048596.1|	1_3130	541	536	98	99	531	60.45	  647
gi|50119430|ref|YP_048597.1|	1_3131	291	283	98	99	286	54.55	  326
gi|50119432|ref|YP_048599.1|	1_1505	261	252	96	98	251	67.33	  332
gi|50119438|ref|YP_048605.1|	1_3498	310	230	16	20	49	36.73	32.7
gi|50119441|ref|YP_048608.1|	1_1324	147	149	100	99	147	53.06	  164
gi|50119442|ref|YP_048609.1|	1_1325	190	197	100	94	188	42.63	  130
